類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,placemark_address
台灣造船股份有限公司,平寮里,基隆市中正區和一路224號,"25.15562, 121.76231",1.0,1144,第二分局,,"台灣造船股份有限公司 平寮002 平寮里 基隆市中正區和一路224號 1144 第二分局"
農委會水產試驗所,平寮里,基隆市中正區和一路199號,"25.15489, 121.76387",1.0,199,第二分局,,"農委會水產試驗所 平寮004 平寮里 基隆市中正區和一路199號 199 第二分局"
基隆港務局,平寮里,基隆市中正區平一路480號,"25.16079, 121.76395",1.0,584,第二分局,,"基隆港務局 平寮005 平寮里 基隆市中正區平一路480號 584 第二分局"
公寓,正砂里,基隆市中正區正榮街77巷53號,"25.147, 121.76232",4.0,282,第二分局,,"公寓 正砂001 正砂里 基隆市中正區正榮街77巷53號 282 第二分局"
7樓電梯大樓,正砂里,基隆市中正區正榮街28之4號,"25.14471, 121.76197",2.0,245,第二分局,,"7樓電梯大樓 正砂004 正砂里 基隆市中正區正榮街28之4號 245 第二分局"
7樓電梯大樓,正砂里,基隆市中正區正榮街28之1號,"25.14471, 121.76197",2.0,222,第二分局,,"7樓電梯大樓 正砂005 正砂里 基隆市中正區正榮街28之1號 222 第二分局"
安瀾一品,正砂里,基隆市中正區中正路213號,"25.14312, 121.76098",1.0,298,第二分局,,"安瀾一品 正砂006 正砂里 基隆市中正區中正路213號 298 第二分局"
大觀園,正砂里,基隆市中正區正榮街59號,"25.14586, 121.76218",1.0,163,第二分局,,"大觀園 正砂007 正砂里 基隆市中正區正榮街59號 163 第二分局"
中正公教住宅,正砂里,基隆市中正區中正路400之3號,"25.15143, 121.77099",1.0,982,第二分局,,"中正公教住宅 正砂008 正砂里 基隆市中正區中正路400之3號 982 第二分局"
7樓電梯大樓,正砂里,基隆市中正區中正路97號,"25.15143, 121.77099",2.0,318,第二分局,,"7樓電梯大樓 正砂009 正砂里 基隆市中正區中正路97號 318 第二分局"
海玉,正砂里,基隆市中正區中正路335號,"25.14813, 121.76174",3.0,489,第二分局,,"海玉 正砂010 正砂里 基隆市中正區中正路335號 489 第二分局"
正濱國民中學,正砂里,基隆市中正區正榮街88號,"25.14633, 121.76302",1.0,621,第二分局,,"正濱國民中學 正砂012 正砂里 基隆市中正區正榮街88號 621 第二分局"
豐澤華廈,正砂里,基隆市中正區中正路315號,"25.14324, 121.76094",2.0,510,第二分局,,"豐澤華廈 正砂013 正砂里 基隆市中正區中正路315號 510 第二分局"
星海灣,正砂里,基隆市中正區中正路331號,"25.15143, 121.77099",2.0,384,第二分局,,"星海灣 正砂014 正砂里 基隆市中正區中正路331號 384 第二分局"
中正華城,正砂里,基隆市中正區中正路464號,"25.14821, 121.7621",2.0,349,第二分局,,"中正華城 正砂015 正砂里 基隆市中正區中正路464號 349 第二分局"
萬金樓,正義里,基隆市中正區義二路162號,"25.13382, 121.74732",2.0,144,第二分局,,"萬金樓 正義001 正義里 基隆市中正區義二路162號 144 第二分局"
萬金樓,正義里,基隆市中正區義二路164號之1,"25.13387, 121.74738",1.0,348,第二分局,,"萬金樓 正義002 正義里 基隆市中正區義二路164號之1 348 第二分局"
汾陽郭,正濱里,基隆市中正區中正路742號,"25.15143, 121.77099",1.0,179,第二分局,,"汾陽郭 正濱001 正濱里 基隆市中正區中正路742號 179 第二分局"
基隆市原住民文化會館,正濱里,基隆市中正區正濱路116巷75號,"25.1537, 121.77163",1.0,523,第二分局,,"基隆市原住民文化會館 正濱002 正濱里 基隆市中正區正濱路116巷75號 523 第二分局"
基隆海大會館,正濱里,基隆市中正區中正路607號,"25.15167, 121.77099",1.0,515,第二分局,,"基隆海大會館 正濱003 正濱里 基隆市中正區中正路607號 515 第二分局"
公寓,孝岡里,基隆市信義區深澳坑路133之2號,"25.12449, 121.79015",1.0,178,第二分局,,"公寓 孝岡001 孝岡里 基隆市信義區深澳坑路133之2號 178 第二分局"
川欣冷凍廠,孝岡里,基隆市信義區深澳坑路277號,"25.12029, 121.79738",1.0,164,第二分局,,"川欣冷凍廠 孝岡003 孝岡里 基隆市信義區深澳坑路277號 164 第二分局"
麗景江山,孝忠里,基隆市信義區深溪路36巷50弄18號,"25.13045, 121.78111",2.0,2281,第二分局,,"麗景江山 孝忠001 孝忠里 基隆市信義區深溪路36巷50弄18號 2281 第二分局"
麗景江山,孝忠里,基隆市信義區深溪路36巷42號,"25.13178, 121.78249",2.0,1182,第二分局,,"麗景江山 孝忠002 孝忠里 基隆市信義區深溪路36巷42號 1182 第二分局"
麗景江山,孝忠里,基隆市信義區深溪路36巷50弄1號,"25.13177, 121.78265",3.0,5443,第二分局,,"麗景江山 孝忠003 孝忠里 基隆市信義區深溪路36巷50弄1號 5443 第二分局"
麗景江山,孝忠里,基隆市信義區深溪路36巷74號,"25.13045, 121.78111",1.0,2562,第二分局,,"麗景江山 孝忠004 孝忠里 基隆市信義區深溪路36巷74號 2562 第二分局"
麗景江山,孝忠里,基隆市信義區深溪路36巷102弄11號,"25.13288, 121.78444",1.0,2183,第二分局,,"麗景江山 孝忠005 孝忠里 基隆市信義區深溪路36巷102弄11號 2183 第二分局"
麗景江山,孝忠里,基隆市信義區深溪路36巷51號,"25.13045, 121.78111",1.0,17089,第二分局,,"麗景江山 孝忠006 孝忠里 基隆市信義區深溪路36巷51號 17089 第二分局"
