電腦編號,里別,防空疏散避難設施地址,地下層數,可容納人數,轄管分局,備註
QPA00106,三星里,屏東縣潮州鎮三星里潮州路1152號,1.0,481.0,潮州分局,
QQA00024,三星里,屏東縣潮州鎮三星里潮州路1153號,1.0,129.0,潮州分局,
QPA00075,三星里,屏東縣潮州鎮三星里四維路162號,1.0,261.0,潮州分局,
QPA00072,三星里,屏東縣潮州鎮三星里四維路354號,1.0,80.0,潮州分局,
QQA00015,三星里,屏東縣潮州鎮三星里四維路356號,1.0,80.0,潮州分局,
QQA00105,三星里,屏東縣潮州鎮三星里四維路358號,1.0,80.0,潮州分局,
QPA00059,三星里,屏東縣潮州鎮三星里四維路360號,1.0,80.0,潮州分局,
QPA00071,三星里,屏東縣潮州鎮三星里三德路25號,1.0,4576.0,潮州分局,
QPA00184,三星里,屏東縣潮州鎮三星里壽星路8號,1.0,2458.0,潮州分局,
QPA00072,三星里,屏東縣潮州鎮三星里三林路21巷11號,1.0,929.0,潮州分局,
QQA00029,三星里,屏東縣潮州鎮三星里朝昇東路93號,1.0,202.0,潮州分局,
QPA00199,三星里,屏東縣潮州鎮三星里朝昇東路131號,1.0,1386.0,潮州分局,
QPA00007,三星里,屏東縣潮州鎮三星里三星路2之14號,1.0,188.0,潮州分局,
QPA00005,三星里,屏東縣潮州鎮三星里三星路20號,1.0,142.0,潮州分局,
QPA00030,三星里,屏東縣潮州鎮三星里三星路39號,1.0,161.0,潮州分局,
QPA00016,三星里,屏東縣潮州鎮三星里三城路302號,1.0,22.0,潮州分局,
QPA00026,三星里,屏東縣潮州鎮三星里三城路314號,1.0,74.0,潮州分局,
QPA00062,三星里,屏東縣潮州鎮三星里吉星路102巷1號,1.0,1990.0,潮州分局,
QPA00004,彭城里,屏東縣潮州鎮彭城里三城路111號,1.0,3841.0,潮州分局,
QPA00005,九塊里,屏東縣潮州鎮九塊里復興路94號,1.0,257.0,潮州分局,
QPA00019,同榮里,屏東縣潮州鎮同榮里中山路92號,1.0,34.0,潮州分局,
QPA00056,同榮里,屏東縣潮州鎮同榮里中山路94號,1.0,50.0,潮州分局,
QQA00003,同榮里,屏東縣潮州鎮同榮里中山路109號,1.0,46.0,潮州分局,
QPA00021,同榮里,屏東縣潮州鎮同榮里中山路112號,1.0,30.0,潮州分局,
QPA00017,同榮里,屏東縣潮州鎮同榮里中山路114號,1.0,34.0,潮州分局,
QQA00022,同榮里,屏東縣潮州鎮同榮里民生路3號,1.0,30.0,潮州分局,
QQA00002,同榮里,屏東縣潮州鎮同榮里民生路15號,1.0,36.0,潮州分局,
QPA00003,同榮里,屏東縣潮州鎮同榮里民生路17號,1.0,54.0,潮州分局,
QPA00006,同榮里,屏東縣潮州鎮同榮里民生路19號,1.0,52.0,潮州分局,
QPA00009,同榮里,屏東縣潮州鎮同榮里育英路31號,1.0,109.0,潮州分局,共有2處、總計可容納人數1378人
QPA00064,同榮里,屏東縣潮州鎮同榮里育英路31號,1.0,1269.0,潮州分局,共有2處、總計可容納人數1378人
QPA00069,同榮里,屏東縣潮州鎮同榮里西市路2號,1.0,42.0,潮州分局,
QPA00061,同榮里,屏東縣潮州鎮同榮里西市路2-1號,1.0,30.0,潮州分局,
QPA00007,同榮里,屏東縣潮州鎮同榮里西市路2-2號,1.0,30.0,潮州分局,
QQA00021,同榮里,屏東縣潮州鎮同榮里西市路2-3號,1.0,30.0,潮州分局,
QQA00023,同榮里,屏東縣潮州鎮同榮里西市路2-4號,1.0,30.0,潮州分局,
QPA00033,同榮里,屏東縣潮州鎮同榮里西市路4號,1.0,42.0,潮州分局,
QPA00102,同榮里,屏東縣潮州鎮同榮里清水路25號,1.0,133.0,潮州分局,
QPA00003,三和里,屏東縣潮州鎮三和里自強路7號,1.0,72.0,潮州分局,
QPA00011,三和里,屏東縣潮州鎮三和里延平路51號,1.0,93.0,潮州分局,
QPA00010,三和里,屏東縣潮州鎮三和里延平路115號,1.0,1342.0,潮州分局,
QPA00032,三和里,屏東縣潮州鎮三和里龍巖路31號,1.0,164.0,潮州分局,
QPA00031,三和里,屏東縣潮州鎮三和里朝昇路322號,1.0,188.0,潮州分局,
QQA00019,三和里,屏東縣潮州鎮三和里和興街6號,1.0,253.0,潮州分局,
QPA00199,三和里,屏東縣潮州鎮三和里華巖街1號,1.0,1000.0,潮州分局,共有3處、總計可容納人數3374人
QPA00200,三和里,屏東縣潮州鎮三和里華巖街1號,1.0,781.0,潮州分局,共有3處、總計可容納人數3374人
QPA00201,三和里,屏東縣潮州鎮三和里華巖街1號,1.0,1593.0,潮州分局,共有3處、總計可容納人數3374人
QPA00008,三共里,屏東縣潮州鎮三共里文化路66號,1.0,168.0,潮州分局,共有4處、總計可容納人數3437人
QPA00004,三共里,屏東縣潮州鎮三共里文化路66號,1.0,1592.0,潮州分局,共有4處、總計可容納人數3437人
QQA00007,三共里,屏東縣潮州鎮三共里文化路66號,1.0,805.0,潮州分局,共有4處、總計可容納人數3437人
QQA00001,三共里,屏東縣潮州鎮三共里文化路66號,1.0,872.0,潮州分局,共有4處、總計可容納人數3437人
QPA00024,三共里,屏東縣潮州鎮三共里文化路191號,1.0,250.0,潮州分局,
QPA00002,三共里,屏東縣潮州鎮三共里文化路214號,1.0,26.0,潮州分局,
QQA00005,三共里,屏東縣潮州鎮三共里文化路215號,1.0,28.0,潮州分局,
QPA00013,三共里,屏東縣潮州鎮三共里文化路222號,1.0,24.0,潮州分局,
QQA00030,三共里,屏東縣潮州鎮三共里朝昇路2號,1.0,596.0,潮州分局,
QQA00026,三共里,屏東縣潮州鎮三共里朝昇路8號,1.0,34.0,潮州分局,
QPA00002,三共里,屏東縣潮州鎮三共里朝昇路43號,1.0,34.0,潮州分局,
QPA000018,三共里,屏東縣潮州鎮三共里永坤路2巷55弄2號,1.0,128.0,潮州分局,
QPA00057,三共里,屏東縣潮州鎮三共里四維路189巷13號,1.0,1022.0,潮州分局,
QQA00006,三共里,屏東縣潮州鎮三共里永坤路107號,1.0,417.0,潮州分局,
QPA00035,三共里,屏東縣潮州鎮三共里永坤路136號,1.0,54.0,潮州分局,
QQA00032,三共里,屏東縣潮州鎮三共里延平路92號,1.0,22.0,潮州分局,
QQA00004,三共里,屏東縣潮州鎮三共里延平路142號,1.0,361.0,潮州分局,共有2處、總計可容納人數654人
QPA00014,三共里,屏東縣潮州鎮三共里延平路142號,1.0,293.0,潮州分局,共有2處、總計可容納人數654人
QPA00103,三共里,屏東縣潮州鎮三共里明義路8號,1.0,1212.0,潮州分局,
QPA00104,三共里,屏東縣潮州鎮三共里北門路25號,1.0,1249.0,潮州分局,
QPA00037,三共里,屏東縣潮州鎮三共里北門路68號,1.0,1060.0,潮州分局,
QPA00023,三共里,屏東縣潮州鎮三共里振昇路126號,1.0,122.0,潮州分局,
QQA00025,三共里,屏東縣潮州鎮三共里豐年街5號,1.0,40.0,潮州分局,
QPA00029,三共里,屏東縣潮州鎮三共里海康街110號,1.0,50.0,潮州分局,
QPA00036,三共里,屏東縣潮州鎮三共里海康街112號,1.0,50.0,潮州分局,
QPA00092,三共里,屏東縣潮州鎮三共里海康街212號,1.0,1974.0,潮州分局,共有2處、總計可容納人數3948人
QQA00016,三共里,屏東縣潮州鎮三共里海康街212號,1.0,1974.0,潮州分局,共有2處、總計可容納人數3948人
QQA00009,三共里,屏東縣潮州鎮三共里曲江街20巷1號,1.0,89.0,潮州分局,
QPA00012,三共里,屏東縣潮州鎮三共里曲江街31號,1.0,482.0,潮州分局,
QPA00025,三共里,屏東縣潮州鎮三共里瑞昌街47號,1.0,848.0,潮州分局,
QQA00187,新生里,屏東縣潮州鎮新生里中山路81號,1.0,422.0,潮州分局,
QPA00198,新生里,屏東縣潮州鎮新生里中山路158號,1.0,52.0,潮州分局,
QQA00106,新生里,屏東縣潮州鎮新生里中山路172號,1.0,610.0,潮州分局,
QQA00110,新生里,屏東縣潮州鎮新生里新生路74號,1.0,202.0,潮州分局,
QQA00113,新生里,屏東縣潮州鎮新生里新生路74-1號,1.0,156.0,潮州分局,
QQA00135,新生里,屏東縣潮州鎮新生里新生路78-1號,1.0,204.0,潮州分局,
QQA00128,新生里,屏東縣潮州鎮新生里新生路106號,1.0,49.0,潮州分局,
QQA00163,新生里,屏東縣潮州鎮新生里新生路110號,1.0,301.0,潮州分局,
QQA00112,新生里,屏東縣潮州鎮新生里新生路123號,1.0,136.0,潮州分局,
QQA00122,新生里,屏東縣潮州鎮新生里六合路1-15號,1.0,76.0,潮州分局,
QQA00123,新生里,屏東縣潮州鎮新生里平安路32-4號,1.0,13.0,潮州分局,
QQA00155,新生里,屏東縣潮州鎮新生里中正路25號,1.0,301.0,潮州分局,
QQA00115,新榮里,屏東縣潮州鎮新榮里新生路8號,1.0,46.0,潮州分局,
QQA00139,新榮里,屏東縣潮州鎮新榮里新生路12號,1.0,364.0,潮州分局,
QQA00180,新榮里,屏東縣潮州鎮新榮里新生路13號,1.0,986.0,潮州分局,
QQA00125,新榮里,屏東縣潮州鎮新榮里新生路46號,1.0,48.0,潮州分局,
QQA00160,新榮里,屏東縣潮州鎮新榮里新生路56號,1.0,30.0,潮州分局,
QPA00194,新榮里,屏東縣潮州鎮新榮里新生路71號,1.0,610.0,潮州分局,
QQA00119,新榮里,屏東縣潮州鎮新榮里清水南路41-45號,1.0,92.0,潮州分局,
QQA00181,新榮里,屏東縣潮州鎮新榮里中山路117號,1.0,269.0,潮州分局,
QQA00124,新榮里,屏東縣潮州鎮新榮里中山路129號,1.0,42.0,潮州分局,
QQA00130,新榮里,屏東縣潮州鎮新榮里中山路133號,1.0,60.0,潮州分局,
QQA00127,新榮里,屏東縣潮州鎮新榮里育英路57號,1.0,96.0,潮州分局,
QQA00126,新榮里,屏東縣潮州鎮新榮里育英路61號,1.0,104.0,潮州分局,
QPA00202,新榮里,屏東縣潮州鎮新榮里和平路28號,1.0,1740.0,潮州分局,
QQA00105,新榮里,屏東縣潮州鎮新榮里民榮街20-4號,1.0,569.0,潮州分局,
QQA00103,蓬萊里,屏東縣潮州鎮蓬萊里榮祥路32號,1.0,36.0,潮州分局,
QQA00189,蓬萊里,屏東縣潮州鎮蓬萊里榮吉街115號,1.0,740.0,潮州分局,
QQA00015,蓬萊里,屏東縣潮州鎮蓬萊里榮田路123號,1.0,877.0,潮州分局,
QQA00107,五魁里,屏東縣潮州鎮五魁里太平路232號,1.0,801.0,潮州分局,
QQA00140,五魁里,屏東縣潮州鎮五魁里太平路477號,1.0,536.0,潮州分局,
QQA00191,五魁里,屏東縣潮州鎮五魁里杭州街122巷1號,1.0,1308.0,潮州分局,
QQA00108,五魁里,屏東縣潮州鎮五魁里杭州街175號,1.0,924.0,潮州分局,
QQA00109,永春里,屏東縣潮州鎮永春里光輪路135號,1.0,2793.0,潮州分局,
QQA00133,永春里,屏東縣潮州鎮永春里興隆路155號,1.0,81.0,潮州分局,
QQA00117,永春里,屏東縣潮州鎮永春里五福路45號,1.0,30.0,潮州分局,
QQA00118,永春里,屏東縣潮州鎮永春里介壽路108號,1.0,52.0,潮州分局,
QQA00129,永春里,屏東縣潮州鎮永春里大同路22號,1.0,86.0,潮州分局,
QQA00131,永春里,屏東縣潮州鎮永春里大同路200號,1.0,108.0,潮州分局,
QQA00132,永春里,屏東縣潮州鎮永春里大同路256號,1.0,210.0,潮州分局,
QQA00111,永春里,屏東縣潮州鎮永春里永昌路45號,1.0,1208.0,潮州分局,
QQA00136,永春里,屏東縣潮州鎮永春里光春路13號,1.0,536.0,潮州分局,
QQA00150,永春里,屏東縣潮州鎮永春里光春路71號,1.0,76.0,潮州分局,
QQA00153,永春里,屏東縣潮州鎮永春里長春路47號,1.0,196.0,潮州分局,
QQA00154,永春里,屏東縣潮州鎮永春里新興路48號,1.0,76.0,潮州分局,
QQA00142,永春里,屏東縣潮州鎮永春里永康街308號,1.0,110.0,潮州分局,
QQA00144,永春里,屏東縣潮州鎮永春里永康街319號,1.0,72.0,潮州分局,
QQA00146,永春里,屏東縣潮州鎮永春里永康街321號,1.0,72.0,潮州分局,
QQA00149,永春里,屏東縣潮州鎮永春里永康街323號,1.0,72.0,潮州分局,
QQA00151,永春里,屏東縣潮州鎮永春里永康街325號,1.0,72.0,潮州分局,
QQA00147,永春里,屏東縣潮州鎮永春里永康街327號,1.0,72.0,潮州分局,
QQA00148,永春里,屏東縣潮州鎮永春里永康街329號,1.0,72.0,潮州分局,
QQA00145,永春里,屏東縣潮州鎮永春里永康街331號,1.0,72.0,潮州分局,
QPA00200,富春里,屏東縣潮州鎮富春里田單路15號,1.0,1162.0,潮州分局,
QQA00138,光春里,屏東縣潮州鎮光春里光復路255號,1.0,94.0,潮州分局,
QQA00104,光春里,屏東縣潮州鎮光春里光復路259號,1.0,260.0,潮州分局,
QQA00152,光春里,屏東縣潮州鎮光春里光復路593號,1.0,194.0,潮州分局,
QQA00134,光春里,屏東縣潮州鎮光春里光春路140-10號,1.0,196.0,潮州分局,
QQA00121,光春里,屏東縣潮州鎮光春里光春路290號,1.0,174.0,潮州分局,共有3處、總計可容納人數604人
QQA00137,光春里,屏東縣潮州鎮光春里光春路290號,1.0,152.0,潮州分局,共有3處、總計可容納人數604人
QQA00141,光春里,屏東縣潮州鎮光春里光春路290號,1.0,278.0,潮州分局,共有3處、總計可容納人數604人
QPA00179,光春里,屏東縣潮州鎮光春里光春路300號,1.0,457.0,潮州分局,
QPA00180,光春里,屏東縣潮州鎮光春里光春路311號,1.0,566.0,潮州分局,
QQA00188,光春里,屏東縣潮州鎮光春里志成路201號,1.0,1528.0,潮州分局,
QQA00143,八爺里,屏東縣潮州鎮八爺里介壽路308號,1.0,64.0,潮州分局,
QQA00120,八爺里,屏東縣潮州鎮八爺里介壽路468號,1.0,357.0,潮州分局,
QQA00164,檨子里,屏東縣潮州鎮檨子里光復路31號,1.0,90.0,潮州分局,
QQA00114,檨子里,屏東縣潮州鎮檨子里光復路一段53號,1.0,130.0,潮州分局,
QQA00075,四林里,屏東縣潮州鎮四林里通潮路152號,1.0,68.0,潮州分局,
QPA00190,竹田村,屏東縣竹田鄉竹田村中正路123號,1.0,401.0,潮州分局,
QPA00169,永豐村,屏東縣竹田鄉永豐村永豐路14巷35號,1.0,288.0,潮州分局,
QPA00197,永豐村,屏東縣竹田鄉永豊村永豊路120號,1.0,229.0,潮州分局,
QPA00171,永豐村,屏東縣竹田鄉永豐村永豐路130號,1.0,830.0,潮州分局,
QPA00170,永豐村,屏東縣竹田鄉永豐村永豐路132號,1.0,1226.0,潮州分局,
QPA00182,永豐村,屏東縣竹田鄉永豐村永豐路227號,1.0,152.0,潮州分局,
QPA00181,南勢村,屏東縣竹田鄉南勢村南西路166號,1.0,332.0,潮州分局,
QPA00195,大湖村,屏東縣竹田鄉大湖村大成路46號,1.0,650.0,潮州分局,
QPA00191,大湖村,屏東縣竹田鄉大湖村大成路57號,1.0,37.0,潮州分局,共有2處、總計可容納人數245人
QPA00192,大湖村,屏東縣竹田鄉大湖村大成路57號,1.0,208.0,潮州分局,共有2處、總計可容納人數245人
QQA00175,新埤村,屏東縣新埤鄉新埤村中正路40號,1.0,193.0,潮州分局,
QQA00177,新埤村,屏東縣新埤鄉新埤村中正路62號,1.0,181.0,潮州分局,
QPA00193,箕湖村,屏東縣新埤鄉箕湖村進化路12號之200,1.0,1572.0,潮州分局,
QPA00183,古樓村,屏東縣來義鄉古樓村中正路147號,1.0,580.0,潮州分局,
