"unnamed (1)",類別,電腦編號,村里別,地址,經緯度,地下層數位址,可容納人數,轄管分局,停車場坡道,備註,placemark_address
75.0,大樓,ENA03032,埔心里,337桃園市大園區埔心里16鄰航勤北路8-8號,"25.091093, 121.248404",1.0,2886.0,大園分局,,,"25.091093, 121.248404"
76.0,大樓,ENA03033,五權里,337桃園市大園區五權里8鄰青昇路一段48巷250號二樓之1,"25.009811, 121.224390",2.0,933.0,大園分局,,,"25.009811, 121.224390"
77.0,,ENA03034,五權里,337桃園市大園區五權里11鄰中興路二段367號,"25.01428, 121.23174",2.0,713.0,大園分局,V,,"25.01428, 121.23174"
78.0,大樓,ENA03035,五權里,337桃園市大園區五權里9鄰中興路二段429巷176弄18號,"25.010865277829957, 121.23013215982284",2.0,825.0,大園分局,V,,"25.010865277829957, 121.23013215982284"
79.0,大樓,ENA03036,五權里,337桃園市大園區五權里18鄰中正東路三段389號,"25.01020674620866, 121.22785826743291",2.0,710.0,大園分局,V,,"25.01020674620866, 121.22785826743291"
80.0,大樓,ENA04002,北港里,337桃園市大園區北港里大工路11號,"25.07712, 121.1757",1.0,75.0,大園分局,V,,"25.07712, 121.1757"
81.0,大樓,ENA04003,北港里,337桃園市大園區北港里大工路13號,"25.0672, 121.17969",2.0,103.0,大園分局,,,"25.0672, 121.17969"
82.0,大樓,ENA04005,北港里,337桃園市大園區北港里大工路17號,"25.06847, 121.17908",10.0,5601.0,大園分局,,,"25.06847, 121.17908"
83.0,大樓,ENA04006,北港里,337桃園市大園區北港里大工路17號,"25.06847, 121.17908",1.0,1248.0,大園分局,,,"25.06847, 121.17908"
84.0,大樓,ENA04008,北港里,337桃園市大園區北港里大工路31號,"25.07355, 121.17654",3.0,93.0,大園分局,,,"25.07355, 121.17654"
85.0,大樓,ENA04009,北港里,337桃園市大園區北港里大工路31號,"25.07355, 121.17654",6.0,391.0,大園分局,,,"25.07355, 121.17654"
86.0,大樓,ENA04010,北港里,337桃園市大園區北港里大工路31號,"25.07355, 121.17654",1.0,391.0,大園分局,,,"25.07355, 121.17654"
87.0,大樓,ENA04013,北港里,337桃園市大園區北港里大工路126號,"25.07401, 121.17672",1.0,130.0,大園分局,,,"25.07401, 121.17672"
88.0,大樓,ENA04014,北港里,337桃園市大園區北港里大工路132號,"25.07464, 121.17681",1.0,196.0,大園分局,,,"25.07464, 121.17681"
89.0,工廠,ENA04015,北港里,337桃園市大園區北港里大工路138-1號,"25.07775, 121.17596",5.0,761.0,大園分局,,,"25.07775, 121.17596"
90.0,大樓,ENA04017,北港里,337桃園市大園區北港里工四路2號,"25.07068, 121.1762",2.0,213.0,大園分局,,,"25.07068, 121.1762"
91.0,大樓,ENA04020,北港里,337桃園市大園區北港里工四路15號,"25.0726, 121.17843",1.0,83.0,大園分局,,,"25.0726, 121.17843"
92.0,公寓,ENA04025,北港里,337桃園市大園區北港里工五路11號,"25.07311, 121.17439",3.0,1040.0,大園分局,,,"25.07311, 121.17439"
93.0,大樓,ENA04027,圳頭里,337桃園市大園區圳頭里中華路298號,"25.07088, 121.20485",1.0,824.0,大園分局,,,"25.07088, 121.20485"
94.0,大樓,ENA04030,南港里,337桃園市大園區南港里六鄰環區西路278號,"25.05316, 121.16559",4.0,218.0,大園分局,,,"25.05316, 121.16559"
95.0,大樓,ENA04031,南港里,337桃園市大園區南港里六鄰環區西路296號,"25.05125, 121.17453",4.0,212.0,大園分局,,,"25.05125, 121.17453"
96.0,大樓,ENA04033,內海里,337桃園市大園區內海里中山北路252號,"25.0634, 121.19574",3.0,1103.0,大園分局,,,"25.0634, 121.19574"
97.0,大樓,ENA04036,內海里,337桃園市大園區內海里中山北路262號,"25.07391, 121.1892",1.0,527.0,大園分局,,,"25.07391, 121.1892"
98.0,公寓,ENA04038,內海里,337桃園市大園區內海里中山北路271號,"25.07391, 121.1892",4.0,133.0,大園分局,V,,"25.07391, 121.1892"
99.0,公寓,ENA04039,內海里,337桃園市大園區內海里中山北路271號,"25.07605, 121.18575",2.0,269.0,大園分局,V,,"25.07605, 121.18575"
100.0,大樓,ENA04040,內海里,337桃園市大園區內海里中山北路275號,"25.0769, 121.18474",3.0,3261.0,大園分局,V,,"25.0769, 121.18474"
101.0,大樓,ENA04041,內海里,337桃園市大園區內海里中山北路277號,"25.07672, 121.18568",2.0,247.0,大園分局,,,"25.07672, 121.18568"
102.0,大樓,ENA04042,內海里,337桃園市大園區內海里中山北路278號,"25.07737, 121.186",3.0,982.0,大園分局,,,"25.07737, 121.186"
103.0,公寓,ENA04043,內海里,337桃園市大園區內海里中山北路280巷2號,"25.08097, 121.18385",2.0,251.0,大園分局,,,"25.08097, 121.18385"
104.0,大樓,ENA04044,內海里,337桃園市大園區內海里民權路7-1號,"25.07663, 121.18357",1.0,111.0,大園分局,,,"25.07663, 121.18357"
105.0,大樓,ENA04048,內海里,337桃園市大園區內海里民權路12號,"25.07593, 121.18335",4.0,421.0,大園分局,,,"25.07593, 121.18335"
106.0,大樓,ENA04051,內海里,337桃園市大園區內海里民生路119號,"25.07794, 121.18842",1.0,728.0,大園分局,,,"25.07794, 121.18842"
107.0,公寓,ENA04052,內海里,337桃園市大園區內海里民生路123-1號,"25.0735, 121.1911",1.0,263.0,大園分局,V,,"25.0735, 121.1911"
108.0,大樓,ENA04053,內海里,337桃園市大園區內海里民族街5號,"25.0735, 121.1911",1.0,152.0,大園分局,,,"25.0735, 121.1911"
109.0,大樓,ENA04055,內海里,337桃園市大園區內海里民族路8號,"25.07322, 121.19063",3.0,178.0,大園分局,,,"25.07322, 121.19063"
110.0,大樓,ENA04057,南港里,337桃園市大園區南港里長發一路216號,"25.05712, 121.18066",1.0,61.0,大園分局,,,"25.05712, 121.18066"
111.0,大樓,ENA04058,南港里,337桃園市大園區南港里六鄰環區西路198號,"25.0579, 121.16817",2.0,30.0,大園分局,,,"25.0579, 121.16817"
112.0,大樓,ENA04059,南港里,337桃園市大園區南港里六鄰環區西路218號,"25.05316, 121.16559",2.0,148.0,大園分局,,,"25.05316, 121.16559"
113.0,大樓,ENA04060,南港里,"337桃園市大園區南港里 11鄰園航路391-13號","25.05323, 121.16697",10.0,3478.0,大園分局,,,"25.05323, 121.16697"
114.0,公寓,ENA04061,南港里,337桃園市大園區南港里園一街1-6號,"25.04597, 121.17165",11.0,1325.0,大園分局,,,"25.04597, 121.17165"
115.0,大樓,ENA04062,南港里,337桃園市大園區南港里環區東路450-2號,"25.04456, 121.17083",7.0,1174.0,大園分局,,,"25.04456, 121.17083"
116.0,大樓,ENA04063,南港里,337桃園市大園區南港里南和路185-28號,"25.04456, 121.17083",8.0,5501.0,大園分局,,,"25.04456, 121.17083"
117.0,大樓,ENA04064,南港里,337桃園市大園區南港里潮音一路188號,"25.04528, 121.16708",3.0,376.0,大園分局,V,,"25.04528, 121.16708"
118.0,公寓,ENA04065,圳頭里,337桃園市大園區圳頭里濱海路二段208號,"25.09245, 121.2034",3.0,4703.0,大園分局,,,"25.09245, 121.2034"
119.0,大樓,ENA04066,圳頭里,337桃園市大園區圳頭里濱海路二段198號,"25.09264, 121.20366",1.0,100.0,大園分局,,,"25.09264, 121.20366"
120.0,大樓,ENA04067,圳頭里,337桃園市大園區圳頭里濱海路三段151號,"25.0934, 121.19671",1.0,93.0,大園分局,,,"25.0934, 121.19671"
121.0,公寓,ENA04068,圳頭里,337桃園市大園區圳頭里濱海路三段151號,"25.0934, 121.19671",1.0,82.0,大園分局,,,"25.0934, 121.19671"
122.0,大樓,ENA04070,圳頭里,337桃園市大園區圳頭里中華路259號,"25.07125, 121.20358",1.0,885.0,大園分局,,,"25.07125, 121.20358"
123.0,大樓,ENA04071,南港里,337桃園市大園區南港里園科路400號,"25.06287, 121.16815",1.0,1753.0,大園分局,V,,"25.06287, 121.16815"
124.0,大樓,ENA04072,內海里,337桃園市大園區內海里13鄰中山北路259號,"25.05646, 121.21708",1.0,1769.0,大園分局,,,"25.05646, 121.21708"
125.0,大樓,ENA04073,南港里,337桃園市大園區南港里學十一街91號,"25.05015, 121.16617",2.0,4361.0,大園分局,,,"25.05015, 121.16617"
126.0,大樓,ENA04074,南港里,337桃園市大園區南港里學六街9號,"25.05093, 121.1739",2.0,1440.0,大園分局,,,"25.05093, 121.1739"
127.0,大樓,ENA04075,南港里,337桃園市大園區南港里園航路393號,"25.05328, 121.17147",2.0,3601.0,大園分局,,,"25.05328, 121.17147"
128.0,大樓,ENA04076,南港里,337桃園市大園區南港里29鄰園學路173號,"25.05239, 121.16652",2.0,1665.0,大園分局,,,"25.05239, 121.16652"
129.0,大樓,ENA04077,南港里,337桃園市大園區南港里30鄰文興街15號二樓之1,"25.05081, 121.17481",2.0,1556.0,大園分局,,,"25.05081, 121.17481"
130.0,大樓,ENA04078,內海里,337桃園市大園區內海里13鄰民權路3-2號,"25.078748, 121.185392",1.0,1727.0,大園分局,,,"25.078748, 121.185392"
131.0,大樓,ENA04079,南港里,337桃園市大園區南港里7鄰科一街165號,"25.05554, 121.17069",2.0,1531.0,大園分局,V,,"25.05554, 121.17069"
132.0,公寓,ENA04080,南港里,337桃園市大園區南港里29鄰南和路177-7號9樓,"25.04596, 121.17163",2.0,3229.0,大園分局,V,,"25.04596, 121.17163"
133.0,公寓,ENA04081,北港里,337桃園市大園區北港里16鄰工一路9號,"25.06488, 121.17857",1.0,71.0,大園分局,V,,"25.06488, 121.17857"
134.0,公寓,ENA04082,南港里,337桃園市大園區南港里27鄰環區西路569號9樓,"25.046667277722644, 121.16469416743386",2.0,1341.0,大園分局,V,,"25.046667277722644, 121.16469416743386"
135.0,公寓,ENA05001,菓林里,337桃園市大園區菓林里3鄰菓林路47號,"25.0732, 121.25716",1.0,5022.0,大園分局,,,"25.0732, 121.25716"
136.0,公寓,ENA05002,菓林里,337桃園市大園區菓林里6鄰菓林路172號,"25.07678, 121.26205",1.0,253.0,大園分局,,,"25.07678, 121.26205"
137.0,公寓,ENA05003,菓林里,337桃園市大園區菓林里6鄰菓林路160號,"25.07743, 121.26257",1.0,334.0,大園分局,,,"25.07743, 121.26257"
138.0,公寓,ENA05004,菓林里,337桃園市大園區菓林里16鄰三和路27巷4弄8號,"25.07177, 121.25693",1.0,796.0,大園分局,,,"25.07177, 121.25693"
139.0,公寓菓林國小,ENA05005,三石里,337桃園市大園區三石里16鄰三和路28巷6號,"25.07105, 121.2578",1.0,1370.0,大園分局,,,"25.07105, 121.2578"
140.0,大樓,ENA05006,三石里,337桃園市大園區三石里16鄰三和路28巷11號,"25.07059, 121.25759",1.0,418.0,大園分局,,,"25.07059, 121.25759"
141.0,大樓,ENA05007,三石里,337桃園市大園區三石里16鄰三和路27巷10號,"25.072, 121.25733",1.0,95.0,大園分局,,,"25.072, 121.25733"
142.0,公寓,ENA05008,菓林里,337桃園市大園區菓林里12鄰桃5線41號,"25.0775, 121.26171",1.0,788.0,大園分局,V,,"25.0775, 121.26171"
143.0,公寓,ENA05009,菓林里,337桃園市大園區菓林里福德路68巷45號,"25.07634, 121.26105",2.0,1473.0,大園分局,,,"25.07634, 121.26105"
144.0,大樓,ENA05010,菓林里,337桃園市大園區菓林里30鄰拔子林三路53巷17弄51號,"25.07743, 121.26257",1.0,2022.0,大園分局,V,,"25.07743, 121.26257"
145.0,大樓,ENA05011,菓林里,337桃園市大園區菓林里31鄰拔子林一路139號,"25.07177, 121.25693",3.0,1298.0,大園分局,V,,"25.07177, 121.25693"
146.0,大樓,ENA05012,菓林里,337桃園市大園區菓林里32鄰拔子林一路226號,"25.07537, 121.26405",3.0,1173.0,大園分局,V,,"25.07537, 121.26405"
147.0,大樓,ENA05013,菓林里,337桃園市大園區菓林里三民路二段595巷22號,"25.07537, 121.26405",3.0,1953.0,大園分局,,,"25.07537, 121.26405"
148.0,大樓,ENA05014,菓林里,337桃園市大園區菓林里拔子林一路93巷21號,"25.07518, 121.26061",3.0,1210.0,大園分局,V,,"25.07518, 121.26061"
149.0,大樓,ENA05015,三菓里,337桃園市大園區菓林里拔子林二路17巷18-1號,"25.07598, 121.25801",1.0,1417.0,大園分局,V,,"25.07598, 121.25801"
150.0,工廠,ENA05016,菓林里,337桃園市大園區菓林里33鄰拔子林三路88巷40號,"25.046696437512658, 121.1646727097615",1.0,320.0,大園分局,,,"25.046696437512658, 121.1646727097615"
151.0,大樓,ENA06001,觀音里,328桃園市觀音區觀音里5鄰光明路47號,"25.03806, 121.07701",1.0,327.0,大園分局,,,"25.03806, 121.07701"
152.0,大樓觀音郵局,ENA06002,觀音里,328桃園市觀音區觀音里7鄰中正路252號,"25.02795, 121.08308",1.0,55.0,大園分局,,,"25.02795, 121.08308"
153.0,公寓中華電信,ENA06004,廣興里,328桃園市觀音區廣興里2鄰廣興一路30巷55號,"24.86704, 121.23632",1.0,92.0,大園分局,,,"24.86704, 121.23632"
154.0,大樓,ENA06007,觀音里,328桃園市觀音區觀音里6鄰仁愛路31號,"25.03655, 121.08209",1.0,710.0,大園分局,,,"25.03655, 121.08209"
155.0,大樓,ENA06008,觀音里,(機敏單位),,1.0,170.0,大園分局,,328桃園市觀音區觀音里11鄰中山路40號
156.0,工廠,ENA06009,觀音里,(機敏單位),,1.0,662.0,大園分局,,328桃園市觀音區觀音里11鄰中山路38號
157.0,工廠,ENA06012,大潭里,328桃園市觀音區大潭里1鄰環科路231號,"25.03586, 121.05807",1.0,208.0,大園分局,,,"25.03586, 121.05807"
158.0,工廠,ENA06014,廣興里,328桃園市觀音區廣興里8鄰中山路一段320號,"25.03373, 121.09492",1.0,90.0,大園分局,,,"25.03373, 121.09492"
159.0,工廠,ENA06015,廣興里,328桃園市觀音區廣興里8鄰中山路一段320號,"25.03373, 121.09492",1.0,181.0,大園分局,,,"25.03373, 121.09492"
160.0,工廠,ENA06020,廣興里,328桃園市觀音區廣興里1鄰保興路一段220號,"25.01178, 121.13751",1.0,82.0,大園分局,,,"25.01178, 121.13751"
161.0,大樓,ENA06021,廣興里,328桃園市觀音區廣興里1鄰廣興一路205巷36號,"25.03526, 121.10515",1.0,350.0,大園分局,,,"25.03526, 121.10515"
