建築物名稱,里別,地址,緯度,經度,避難樓層,防空避難設備面積,可容納人數,轄管分局,備註
鉅慶凱登社區大樓,福元里,桃園市桃園區福元里6鄰民富二街8巷20號,"25.006920 ","121.318950 ",B01B02B03,1411.57,980.0,桃園分局,
德友秀川社區大樓,青溪里,桃園市桃園區青溪里16鄰青溪一路112號7樓,"25.001840 ","121.312225 ",B01B02B03B04,1727.19,1199.0,桃園分局,
京澄建設有限公司,中成里,桃園市桃園區中成里6鄰文中三路220號,"25.000327 ","121.288759 ",B01B02B03,591.19,410.0,桃園分局,
青和大綻社區大樓,文中里,桃園市桃園區文中里3鄰力行路550巷90號二樓,24.999576,121.294269,B01B02B03B04,1180.19,819.0,桃園分局,
國泰溪境社區大樓,青溪里,桃園市桃園區青溪里20鄰日光路173號2樓,"25.003857 ","121.310177 ",B01B02B03B04,1798.37,1248.0,桃園分局,
福倉心硯社區大樓,文中里,桃園市桃園區文中里21鄰正光二街199巷16弄9號,24.999463,121.291053,B01B02B03,1049.99,729.0,桃園分局,
私人住宅大樓,文中里,桃園市桃園區文中里3鄰力行路686號,"24.998773 ","121.291663 ",B01B02,528.48,368.0,桃園分局,
南法莊園社區大樓,青溪里,桃園市桃園區青溪里17鄰朝陽街301巷8號8樓,25.005051,121.310482,B01B02B03B04,1515.99,1052.0,桃園分局,
璟都劍橋社區大樓,大有里,桃園市桃園區大有里8鄰大有路377號,25.010754,121.319252,B01B02B03,3382.55,2348.0,桃園分局,
囍上宏社區大樓,福林里,桃園市桃園區福林里26鄰樹仁一街155號,"24.978894 ","121.312388 ",B01B02,1506.06,1045.0,桃園分局,
昭揚天御社區大樓,青溪里,桃園市桃園區青溪里17鄰中央街501號,25.005393,121.313556,B01B02B03,5512.87,3828.0,桃園分局,
鉅慶銘鑄2登峰社區大樓,福元里,桃園市桃園區福元里6鄰民富二街8巷75號7樓,"25.006901 ","121.318440 ",B01B02,5652.85,3925.0,桃園分局,
合康檜邑社區大樓,青溪里,桃園市桃園區青溪里21鄰日光路135號4樓,25.003654,121.310135,B01B02B03B04,2992.42,2078.0,桃園分局,
德友公園ONE社區大樓,中信里,桃園市桃園區中信里4鄰國信街30號2樓,24.994217,121.286671,B01B02B03,2084,1447.0,桃園分局,
德樂憶社區大樓,經國里,桃園市桃園區經國里2鄰新埔五街2號,"25.013769 ","121.305211 ",B01B02,2405.88,1670.0,桃園分局,
公寓,文中里,桃園市桃園區文中里3鄰正光二街125號,24.99985,121.293617,B01,309.57,214.0,桃園分局,
福鄉心匯社區大樓,青溪里,桃園市桃園區青溪里15鄰中央街265號,25.0032677,121.3141741,B01B02B03B04,3196.01,2219.0,桃園分局,
京懋頤和社區大樓,中成里,桃園市桃園區中成里18鄰正光二街77號,"24.999871 ","121.295696 ",B01B02B03,5634.38,3912.0,桃園分局,
嘉璟一品硯社區大樓,中成里,桃園市桃園區中成里11鄰溫州一路311號11樓,"25.003013 ","121.288691 ",B01B02B03B04,4415.89,3066.0,桃園分局,
宜誠吾界社區大樓,大業里,桃園市桃園區大業里16鄰大業路一段316號,"25.009521 ","121.314695 ",B01B02B03,2255.59,1566.0,桃園分局,
豐邑風禾社區大樓,中成里,桃園市桃園區中成里6鄰溫州一路226號3樓,"25.002497 ","121.290830 ",B01B02B03,1123.07,779.0,桃園分局,
大和大悅社區大樓,文中里,桃園市桃園區文中里3鄰文中一路25巷21號,"24.997670 ","121.292985 ",B01B02B03,1507.85,1047.0,桃園分局,
竹城晴川社區大樓,汴洲里,桃園市桃園區汴洲里3鄰經國路808巷61號,"25.030043 ","121.301661 ",B01B02B03,751.56,521.0,桃園分局,
當代桃源社區大樓,春日里,桃園市桃園區春日里16鄰大興路120巷18號,"25.016803 ","121.309960 ",B01B02,711.76,494.0,桃園分局,
逸偉站前ONE社區大樓,文昌里,桃園市桃園區文昌里10鄰新民街81號,"24.993521 ","121.311123 ",B01B02B03,1561.05,1084.0,桃園分局,
國王之森社區大樓,青溪里,桃園市桃園區青溪里15鄰春日路396號,"25.003472 ","121.313410 ",B01B02B03B04,1227.66,852.0,桃園分局,
青川馥社區大樓,青溪里,桃園市桃園區青溪里22鄰光路93號,"25.003258 ","121.310737 ",B01B02B03B04,1401.84,973.0,桃園分局,
國泰川青社區大樓,青溪里,桃園市桃園區青溪里16鄰三民路二段150號,"25.001068 ","121.313622 ",B01B02B03B04,2730.98,1896.0,桃園分局,
着東騰社區大樓,青溪里,桃園市桃園區青溪里17鄰朝陽街500號2樓,"25.006136 ","121.311018 ",B01B02B03B04,1541.39,1070.0,桃園分局,
中悦松花園社區大樓,汴洲里,桃園市桃園區汴洲里34鄰幸福路237號3樓,"25.027867 ","121.297135 ",B01B02B03,2463.34,1710.0,桃園分局,
成宮大院社區大樓,東山里,桃園市桃園區東山里4鄰成功路二段6號3樓之1,"24.992943 ","121.314769 ",B01B02B03,2690.55,1868.0,桃園分局,
厚陞園社區大樓,長美里,桃園市桃園區長美里6鄰民權路98號,"24.994968 ","121.309462 ",B01B02B03,443.63,308.0,桃園分局,
合展悅禾社區大樓,中成里,桃園市桃園區中成里14鄰慈文路569號十一樓,"25.002613 ","121.296638 ",B01B02B03,3499.39,2430.0,桃園分局,
昭揚君邸社區大樓,文中里,桃園市桃園區文中里3鄰力行路610號,"24.998641 ","121.293105 ",B01B02B03,2091.08,1452.0,桃園分局,
遠雄青晉社區大樓,青溪里,桃園市桃園區青溪里15鄰中央街221號,"25.001708 ","121.315328 ",B01B02B03B04,2712.09,1883.0,桃園分局,
桃園市政府消防局,中埔里,桃園市桃園區中埔里7鄰富國路366號,"25.014837 ","121.285809 ",B01,757.89,526.0,桃園分局,
璟都米蘭社區大樓,南埔里,桃園市桃園區南埔里8鄰吉安街78號23樓,"25.005255 ","121.292432 ",B01B02B03B04,3884.98,2697.0,桃園分局,
亞昕向陽社區大樓,青溪里,桃園市桃園區青溪里16鄰日光路8巷8號6樓,"25.000909 ","121.312829 ",B01B02B03B04,1887.24,1310.0,桃園分局,
中悦栢花園社區大樓,汴洲里,桃園市桃園區汴洲里34鄰幸福路356號3樓,"25.028443 ","121.297544 ",B01B02B03,2482.55,1723.0,桃園分局,
公園琚社區大樓,中成里,桃園市桃園區中成里12鄰吉安一街56號,"25.004886 ","121.294395 ",B01B02B03,427.3,296.0,桃園分局,
福容佳麗寶社區大樓,青溪里,桃園市桃園區青溪里16鄰春日路471號,"25.003067 ","121.313142 ",B01B02B03B04,1647.51,1144.0,桃園分局,
朝陽天銳社區大樓,青溪里,桃園市桃園區青溪里17鄰民光東路365號十三樓,"25.005607 ","121.310601 ",B01B02B03,1522.95,1057.0,桃園分局,
京澄為美社區大樓,青溪里,桃園市桃園區青溪里17鄰中央街321號,"25.004034 ","121.314364 ",B01B02B03B04,1281.64,890.0,桃園分局,
璟都城品社區大樓,大有里,桃園市桃園區大有里8鄰大有路407號十四樓,"25.010956 ","121.319163 ",B01B02B03,2024.35,1405.0,桃園分局,
悅風華社區大樓,南埔里,桃園市桃園區南埔里8鄰大興西路三段81號3樓,"25.005694 ","121.291148 ",B01B02B03B04,2200.78,1528.0,桃園分局,
俬藏泱社區大樓,中成里,桃園市桃園區中成里6鄰正光路582號,"25.003928 ","121.293552 ",B01B02B03,1916.1,1330.0,桃園分局,
百俊吾双社區大樓,南埔里,桃園市桃園區南埔里8鄰大興西路三段151號,"25.004986 ","121.290462 ",B01B02B03B04,3483.58,2419.0,桃園分局,
利晉學府社區大樓,文中里,桃園市桃園區文中里18鄰文中二路67號二樓,"24.997457 ","121.289694 ",B01B02B03B04,1300.33,903.0,桃園分局,
竣崴企業總部,龍祥里,桃園市桃園區龍祥里裕和街17巷56號,"24.981710 ","121.273544 ",B01,724.12,502.0,桃園分局,
中路四號社會住宅,中埔里,桃園市桃園區中埔里6鄰崇法街68-4號七樓,"25.007633 ","121.286881 ",B01B02B03,4786.19,3323.0,桃園分局,
銘鑄富登社區大樓,福元里,桃園市桃園區福元里6鄰民富二街8巷58號,"25.004973 ","121.318276 ",B01B02,903.01,627.0,桃園分局,
昭陽天匯社區大樓,青溪里,桃園市桃園區青溪里15鄰中央街200號,"25.002869 ","121.315157 ",B01B02B03,2187.75,1519.0,桃園分局,
益展城心社區大樓,東埔里,桃園市桃園區東埔里10鄰正康二街72號,"25.001909 ","121.308562 ",B01B02,607.79,422.0,桃園分局,
昭揚大和社區大樓,中正里,桃園市桃園區中正里23鄰正光路180號,"24.996776 ","121.295371 ",B01B02B03B04,1472.22,1022.0,桃園分局,
天濶社區大樓,汴洲里,桃園市桃園區汴洲里1鄰水岸街2號2樓,"25.028459 ","121.296125 ",B01B02B03B04,1957.72,1359.0,桃園分局,
宜誠吾界社區大樓,大有里,桃園市桃園區大有里17鄰大有路308號6樓,"25.010255 ","121.319833 ",B01,275.41,191.0,桃園分局,
永恆之藝社區大樓,汴洲里,桃園市桃園區汴洲里1鄰有恆路257-1號,25.03083,121.296402,B01B02B03,795.72,552.0,桃園分局,
經品翫社區大樓,新埔里,桃園市桃園區新埔里20鄰經國路198巷56號,"25.016971 ","121.306454 ",B01B02,395.41,274.0,桃園分局,
大睦敦品社區大樓,三元里,桃園市桃園區三元里4鄰民有八街5號,"25.007649 ","121.322151 ",B01B02B03,2109.48,1464.0,桃園分局,
元美診所,文中里,桃園市桃園區文中里3鄰文中一路126號,"24.998551 ","121.293654 ",B01,528.95,367.0,桃園分局,
康晶釀社區大樓,青溪里,桃園市桃園區青溪里15鄰春日路352號,"25.017582 ","121.300869 ",B01B02B03B04,578.1,401.0,桃園分局,
桃園市立圖書館,同安里,桃園市桃園區同安里11鄰新埔六街203號,"25.018588 ","121.300663 ",B01B02,9291.64,6452.0,桃園分局,
美麗一森社區大樓,文中里,桃園市桃園區文中里3鄰正光路421巷13號,"25.000502 ","121.293993 ",B01B02B03,1164.13,808.0,桃園分局,
桃園市立殯葬管理所,汴洲里,桃園市桃園區汴洲里12鄰大有路916-2號,"25.021610 ","121.316431 ",B01B02B03,6636.87,4608.0,桃園分局,
宜誠一方社區大樓,中路里,桃園市桃園區中路里4鄰益壽七街60號,"24.991836 ","121.291859 ",B01B02B03,1838,1276.0,桃園分局,
桃園市桃園區西門國民小學,西門里,桃園市桃園區西門里12鄰莒光街15號,"24.995309 ","121.304362 ",B01,260.88,181.0,桃園分局,
桃園市桃園區北門國民小學,信光里,桃園市桃園區信光里24鄰正康三街139號,"25.007427 ","121.307144 ",B01,243.12,168.0,桃園分局,
桃園市桃園區中埔國民小學,中埔里,桃園市桃園區中埔里5鄰永安路1054號,"25.009268 ","121.287144 ",B01,1493.63,1037.0,桃園分局,
桃園市立桃園國民中學,西門里,桃園市桃園區西門里12鄰莒光街2號,"24.995532 ","121.305058 ",B01,164.9,183.0,桃園分局,
桃園市立中興國民中學,文中里,桃園市桃園區文中里3鄰文中路122號,"24.996381 ","121.290827 ",B01,311.38,345.0,桃園分局,
桃園市立陽明高級中等學校,玉山里,桃園市桃園區玉山里2鄰德壽街8號,"24.980336 ","121.303225 ",B01,1439.31,1599.0,桃園分局,
桃園市立武陵高級中等學校,中聖里,桃園市桃園區中聖里6鄰中山路889號,"24.988217 ","121.285550 ",B01,881.37,979.0,桃園分局,
陽明青社區大樓,豐林里,桃園市桃園區豐林里26鄰青田街123號2樓,"24.984183 ","121.309923 ",B01,194.48,216.0,桃園分局,
尊聖白金花園社區大樓,文中里,桃園市桃園區文中里3鄰力行路717號四樓,"24.998022 ","121.289760 ",B01B02B03,2290.87,1590.0,桃園分局,
青和寬逸社區大樓,中正里,桃園市桃園區中正里22鄰文中一路88號,"24.997932 ","121.294236 ",B01B02B03B04,1482.86,1029.0,桃園分局,
君邑富域社區大樓,南埔里,桃園市桃園區南埔里8鄰吉安街36號,"25.005755 ","121.293709 ",B01B02B03B04,1089.16,756.0,桃園分局,
福泰金城社區大樓,東埔里,桃園市桃園區東埔里1鄰大華二街9號,"25.000674 ","121.308796 ",B01B02B03B04,1950.82,1354.0,桃園分局,
中路四號社會住宅,中埔里,桃園市桃園區中埔里6鄰崇法街170號12樓,"25.008069 ","121.284096 ",B01B02B03,2631.06,1827.0,桃園分局,
透天厝,中寧里,桃園市桃園區中寧里6鄰同德五街131巷2弄8號2樓,"25.013754 ","121.298160 ",B01,137.08,152.0,桃園分局,
京澄雲朗社區大樓,文中里,桃園市桃園區文中里3鄰力行路662巷21號,"24.998660 ","121.292216 ",B01B02B03,1023.74,710.0,桃園分局,
昭揚大郡社區大樓,文中里,桃園市桃園區文中里3鄰正光二街151巷9號二樓,"24.999561 ","121.293067 ",B01B02B03,2413.96,1676.0,桃園分局,
桃園市向陽社會服務協會,中正里,桃園市桃園區中正里26鄰廈門街62號,"24.995028 ","121.299235 ",B01,2055.39,1427.0,桃園分局,
中路三號社會住宅,中埔里,桃園市桃園區中埔里6鄰崇法街81-5號13樓,"25.007377 ","121.285680 ",B01B02B03,4489.31,3117.0,桃園分局,
遠雄青溪社區大樓,青溪里,桃園市桃園區青溪里17鄰民光東路371號5樓,"25.005510 ","121.310560 ",B01B02B03B04,1968.59,1367.0,桃園分局,
公寓,中埔里,桃園市桃園區中埔里1鄰大興西路三段88號,"25.006090 ","121.290262 ",B01B02B03,3975.37,2760.0,桃園分局,
傳佳水悟道社區大樓,青溪里,桃園市桃園區青溪里17鄰中央街361號二樓,"25.005072 ","121.314166 ",B01B02B03B04B05,1146.97,796.0,桃園分局,
鴻築鴻苑社區大樓,文中里,桃園市桃園區文中里3鄰慈文路805號23樓,"25.000728 ","121.293265 ",B01B02B03B04,3714.79,2579.0,桃園分局,
公寓,中平里,桃園市桃園區中平里9鄰泰昌二街35號,"24.988837 ","121.296057 ",B01,466.12,323.0,桃園分局,
公寓,文中里,桃園市桃園區文中里3鄰力行路758號6樓,"24.998441 ","121.288372 ",B01B02,253.1,175.0,桃園分局,
昭揚樂社區大樓,龍安里,桃園市桃園區龍安里3鄰國強十三街95號,"24.992275 ","121.276391 ",B01B02B03,1868.91,1297.0,桃園分局,
福倉雲硯社區大樓,文中里,桃園市桃園區文中里3鄰正光一街201號,"24.999310 ","121.290941 ",B01B02B03,1209.9,840.0,桃園分局,
百川水硯社區大樓,青溪里,桃園市桃園區青溪里15鄰青溪二路11號,"25.003774 ","121.312860 ",B01B02B03B04,1800.06,1250.0,桃園分局,
定泰清溪翫社區大樓,青溪里,桃園市桃園區青溪里16鄰日光路80號,"25.001843 ","121.311299 ",B01B02B03B04,1470.01,1020.0,桃園分局,
源峰欣境社區大樓,中埔里,桃園市桃園區中埔里1鄰永安路751巷1號2樓,"25.007734 ","121.291605 ",B01B02B03,1141.23,792.0,桃園分局,
清龍居社區大樓,文中里,桃園市桃園區文中里3鄰正光一街168號,"24.999154 ","121.291393 ",B01B02,221.09,153.0,桃園分局,
昭揚君硯社區大樓,中成里,桃園市桃園區中成里正光二街8巷26號,"25.001555 ","121.297131 ",B01B02,2399.69,1666.0,桃園分局,
新世茂商貿大樓,汴洲里,桃園市桃園區汴洲里幸福路206號,"25.028640 ","121.299554 ",B01B02B03B04,1412.47,980.0,桃園分局,
福利麵包食品有限公司,建國里,桃園市桃園區建國里建國東路15巷1號,"24.987074 ","121.320276 ",B01,938.28,651.0,桃園分局,
秀山官邸,玉山里,桃園市桃園區玉山里秀山路19號,"24.989510 ","121.303256 ",B01B02,582.44,404.0,桃園分局,
" 昭揚CBD經貿中心",文中里,桃園市桃園區文中里3鄰正光路423-11號,"25.000776 ","121.293445 ",B01B02B03,1912.44,1328.0,桃園分局,
澄玉2社區大樓,文中里,桃園市桃園區文中里3鄰正光二街166號,"24.999864 ","121.291707 ",B01B02B03,781.15,542.0,桃園分局,
京澄軒朗社區大樓,文中里,桃園市桃園區文中里3鄰正光一街268號,"24.999097 ","121.288996 ",B01B02B03,675.01,468.0,桃園分局,
桃園市政府,光興里,桃園市桃園區光興里縣府路1號,"24.992902 ","121.301060 ",B01B02B03,3217,2234.0,桃園分局,
栢大京森社區,光興里,桃園市桃園區光興里縣府路21號,"24.993955 ","121.300301 ",B01,168,116.0,桃園分局,
桃園市政府體育局,萬壽里,桃園市桃園區萬壽里三民路一段1號,"24.993917 ","121.324736 ",B01B02,1828.82,1270.0,桃園分局,
桃園市政府警察局,光興里,桃園市桃園區光興里縣府路3號,24.993061,121.301904,B01,1293.22,1436.0,桃園分局,不對外開放
桃園市政府警察局,三元里,桃園市桃園區三元里成功路三段40巷58號,24.998166,121.3256,B01,263.83,293.0,桃園分局,不對外開放
桃園市桃園區公所,光興里,桃園市桃園區光興里縣府路7號,"24.994021 ","121.301681 ",B01,2818.94,1957.0,桃園分局,
桃園市政府衛生局,光興里,桃園市桃園區光興里縣府路55號,"24.992919 ","121.300296 ",B01,748.89,520.0,桃園分局,
同良機械有限公司,大樹里,桃園市桃園區大樹里5鄰興隆路6號,"24.984749 ","121.320216 ",B01,1142.44,793.0,桃園分局,
昭陽君喆社區大樓,文中里,桃園市桃園區文中里2鄰國際路二段380號,"24.997756 ","121.288061 ",B01B02B03,1301.35,903.0,桃園分局,
明築隱社區大樓,文中里,桃園市桃園區文中里3鄰正光一街106號,"24.999110 ","121.294106 ",B01B02B03,775.01,538.0,桃園分局,
琼都巴黎社區大樓,中正里,桃園市桃園區中正里24鄰力行路385巷51弄10號,"24.997144 ","121.298048 ",B01B02B03B04,2821.75,1959.0,桃園分局,
栢大京森社區大樓,西門里,桃園市桃園區西門里4鄰民族路297巷3號,"24.995817 ","121.306343 ",B01,165.3,114.0,桃園分局,
昕中城社區大樓,中正里,桃園市桃園區中正里23鄰文中東路80號,"24.995908 ","121.297088 ",B01B02B03,2155.05,1496.0,桃園分局,
百川凱硯社區大樓,中興里,桃園市桃園區中興里25鄰保定三街89巷7號,"24.998385 ","121.298720 ",B01B02B03,1942.01,1348.0,桃園分局,
合輝豐鉑社區大樓,文中里,桃園市桃園區文中里3鄰力行路636號,"24.998331 ","121.293730 ",B01B02B03,2119.41,1471.0,桃園分局,
透天,文中里,桃園市桃園區文中里3鄰文中一路136號,"24.998673 ","121.293645 ",B01B02,391.27,271.0,桃園分局,
大清卓越社區大樓,同安里,桃園市桃園區同安里15鄰新埔八街130號,"25.019104 ","121.299124 ",B01B02B03,2872.4,1994.0,桃園分局,
宜誠玓瓅社區大樓,中成里,桃園市桃園區中成里14鄰慈文路518號,"25.002624 ","121.295558 ",B01B02B03,3234.78,2246.0,桃園分局,
樂活資產管理有限公司,文中里,桃園市桃園區文中里3鄰正光一街61號,"24.998976 ","121.294189 ",B01,377.78,262.0,桃園分局,
昭揚湛社區大樓,龍安里,桃園市桃園區龍安里3鄰國強十三街99號,"24.991972 ","121.275067 ",B01B02,1311.35,910.0,桃園分局,
潤蓬企業有限公司,汴洲里,桃園市桃園區汴洲里1鄰水岸七街66號,"25.030792 ","121.295636 ",B01,242.12,168.0,桃園分局,
印象綠裔社區大樓,文中里,桃園市桃園區文中里3鄰文中二路53號,"24.996386 ","121.289693 ",B01,442.96,307.0,桃園分局,
中路一號社會住宅,中埔里,桃園市桃園區中埔里6鄰崇法街8-4號,"25.007925 ","121.287948 ",B01B02B03,1966.47,1365.0,桃園分局,
秉坤婦幼醫院,中成里,桃園市桃園區中成里6鄰慈文路959號,"25.008322 ","121.303303 ",B01B02B03,1597.09,1109.0,桃園分局,
丰格109社區大樓,文中里,桃園市桃園區文中里3鄰正光二街209號,"24.999848 ","121.290789 ",B01B02B03,2090.38,1451.0,桃園分局,
福鄉至美社區大樓,文中里,桃園市桃園區文中里3鄰文中一路95巷2號,"24.997982 ","121.292844 ",B01B02B03,2160.54,1500.0,桃園分局,
翫寶龍社區大樓,中成里,桃園市桃園區中成里12鄰永安路617號,"25.005861 ","121.294387 ",B01B02B03,1175.49,816.0,桃園分局,
定泰清溪翫社區大樓,青溪里,桃園市桃園區青溪里16鄰日光路50號,"25.003058 ","121.310792 ",B01B02B03B04,1994.99,1385.0,桃園分局,
檜樂集社區大樓,青溪里,桃園市桃園區青溪里16鄰青溪一路100巷68號,"25.001659 ","121.312645 ",B01B02B03B04,1736.57,1205.0,桃園分局,
公寓,永興里,桃園市桃園區永興里6鄰民權路196號,"24.997531 ","121.307716 ",B01,124.24,138.0,桃園分局,
麗晶花園廣場社區大樓,同安里,桃園市桃園區同安里26鄰藝文一街62號,"25.015371 ","121.300891 ",B01B02B03B04,4954.31,3440.0,桃園分局,
京璽社區大樓,武陵里,桃園市桃園區武陵里12鄰大同路10號,"24.990604 ","121.315250 ",B01B02B03,676.46,469.0,桃園分局,
遠雄金融中心大樓,汴洲里,桃園市桃園區汴洲里1鄰經國路839號,"25.029618 ","121.300384 ",B01B02B03B04,1986.75,1379.0,桃園分局,
禾林山知間社區大樓,忠義里,桃園市桃園區忠義里15鄰成功路三段18號,"24.997723 ","121.325417 ",B01B02B03B04,625.72,434.0,桃園分局,
和發LaVie社區大樓,信光里,桃園市桃園區信光里14鄰大連二街111號,"25.008000 ","121.305996 ",B01B02B03,1670.82,1160.0,桃園分局,
W17社區大樓,東山里,桃園市桃園區東山里14鄰安東街17號,"24.991183 ","121.316381 ",B01B02,259.31,180.0,桃園分局,
愛在陽明社社區大樓,南門里,桃園市桃園區南門里1鄰漢中路108巷12號,"24.980650 ","121.304308 ",B01B02B03,1803.88,1252.0,桃園分局,
大河戀社區大樓,汴洲里,桃園市桃園區汴洲里1鄰幸福路171號,"25.028027 ","121.299280 ",B01B02B03,2923.65,2030.0,桃園分局,
合輝云朵社區大樓,中成里,桃園市桃園區中成里11鄰吉安街183號,"25.003645 ","121.290204 ",B01B02B03,2899.92,2013.0,桃園分局,
合勤健康共生宅,汴洲里,桃園市桃園區汴洲里1鄰水岸七街88號,"25.030729 ","121.296666 ",B01B02B03,388.37,269.0,桃園分局,
印象天裔社區大樓,中成里,桃園市桃園區中成里6鄰文中一路268號,"25.001846 ","121.293148 ",B01B02B03,1242.62,862.0,桃園分局,
中茂亞太中心大樓,汴洲里,桃園市桃園區汴洲里1鄰經國一路65號,"25.029412 ","121.299482 ",B01B02B03B04,2169.41,1506.0,桃園分局,
公寓,中正里,桃園市桃園區中正里23鄰法院後街88號,"24.996693 ","121.296532 ",B01,305.62,212.0,桃園分局,
吉邑晶站,東山里,桃園市桃園區東山里15鄰春日路41號,"24.991728 ","121.317453 ",B01B02,232.73,161.0,桃園分局,
市政潤隆社區大樓,中正里,桃園市桃園區中正里23鄰法院後街22號,"24.995528 ","121.296564 ",B01B02B03,2880.24,2000.0,桃園分局,
佳陞吉市社區大樓,民生里,桃園市桃園區民生里2鄰民生路318-3號,"24.996575 ","121.312455 ",B01B02B03,2643.82,1835.0,桃園分局,
福倉禾硯社區,文中里,桃園市桃園區文中里3鄰正光路425號,"25.001146 ","121.293448 ",B01B02B03,1164.76,808.0,桃園分局,
名軒夢享家社區大樓,檜樂里,桃園市桃園區檜樂里15鄰大德三街128號,"25.018793 ","121.316835 ",B01B02,5684.15,3947.0,桃園分局,
文中匯社社區大樓,文中里,桃園市桃園區文中里3鄰文中三路63號,"24.996709 ","121.288678 ",B01B02B03B04,1085.33,753.0,桃園分局,
康宸綠園道社區大樓,寶民里,桃園市桃園區寶民里7鄰民富十一街12號,"25.011887 ","121.317505 ",B01B02,330.29,229.0,桃園分局,
國泰水秀社社區大樓,文中里,桃園市桃園區文中里3鄰文中二路115號,"24.996386 ","121.289693 ",B01B02B03,1784.05,1238.0,桃園分局,
昭陽無限社區大樓,中成里,桃園市桃園區中成里6鄰溫州一路51號,"25.004266 ","121.294785 ",B01B02,929.99,645.0,桃園分局,
雲世代社區大樓,中成里,桃園市桃園區中成里14鄰慈文路460號,"25.002898 ","121.296773 ",B01B02B03B04,1915.34,1330.0,桃園分局,
公寓,大有里,桃園市桃園區大有里11鄰民有十街71號,"25.010039 ","121.321952 ",B01,437.84,304.0,桃園分局,
璞淘元社區大樓,汴洲里,桃園市桃園區汴洲里1鄰幸福路296號,"25.028470 ","121.297941 ",B01B02B03,2099.08,1457.0,桃園分局,
昭陽君麗社區大樓,文中里,桃園市桃園區文中里3鄰正光二街181巷6號,"24.999894 ","121.291484 ",B01B02B03,871.26,605.0,桃園分局,
公寓,汴洲里,桃園市桃園區汴洲里1鄰水岸二街200號,"25.029205 ","121.296949 ",B01B02,601.91,417.0,桃園分局,
