編號,地址,避難所在之地下樓層數,可容納人數,經度,緯度,里別,轄管分局
137.0,臺中市大肚區南榮路59號,1,18.0,"120.567898 ","24.127655 ",中和里,烏日分局
138.0,臺中市大肚區沙田路一段854巷68號,01,5662.0,"120.565764 ","24.122530 ",社腳里,烏日分局
139.0,臺中市大肚區南榮路70巷10號,2,3191.0,"120.578318 ","24.121649 ",中和里,烏日分局
140.0,臺中市大肚區沙田路三段245巷60號,1,296.0,"120.580433 ","24.111829 ",頂街里,烏日分局
141.0,臺中市大肚區溪洲路276號,1,50.0,"120.558905 ","24.135838 ",永和里,烏日分局
142.0,臺中市大肚區沙田路三段734巷35號,1,57.0,"120.582743 ","24.115138 ",山陽里,烏日分局
143.0,臺中市大肚區沙田路二段399巷39號,1,244.0,"120.540051 ","24.162289 ",永和里,烏日分局
144.0,臺中市大肚區沙田路二段323巷2號,1,60.0,"120.540426 ","24.148558 ",新興里,烏日分局
145.0,臺中市大肚區沙田路二段383號,1,75.0,"120.544093 ","24.168430 ",新興里,烏日分局
146.0,臺中市大肚區溪洲路278號,1,67.0,"120.545962 ","24.144552 ",永和里,烏日分局
147.0,臺中市大肚區華山路200號,1,88.0,"120.547496 ","24.143305 ",頂街里,烏日分局
148.0,臺中市大肚區沙田路三段52號,1,588.0,"120.546893 ","24.143977 ",頂街里,烏日分局
149.0,臺中市大肚區沙田路二段303號,1,101.0,"120.545326 ","24.147099 ",新興里,烏日分局
150.0,臺中市大肚區沙田路二段303號,1,686.0,"120.545765 ","24.155662 ",新興里,烏日分局
151.0,臺中市大肚區沙田路三段245巷66號,1,56.0,"120.544501 ","24.154975 ",頂街里,烏日分局
152.0,臺中市大肚區沙田路三段245巷66號,1,117.0,"120.547263 ","24.142348 ",頂街里,烏日分局
153.0,臺中市大肚區新興街18巷18號,1,34.0,"120.547263 ","24.142348 ",新興里,烏日分局
154.0,臺中市大肚區沙田路二段399號,1,14.0,"120.539993 ","24.159858 ",新興里,烏日分局
155.0,臺中市大肚區沙田路二段308巷12號,1,47.0,"120.539993 ","24.159858 ",新興里,烏日分局
156.0,臺中市大肚區沙田路二段383之1號,1,66.0,"120.550453 ","24.140333 ",新興里,烏日分局
157.0,臺中市大肚區沙田路二段132巷59號,1,33.0,"120.546569 ","24.144725 ",新興里,烏日分局
158.0,臺中市大肚區沙田路二段308巷9號,1,93.0,"120.553048 ","24.143308 ",新興里,烏日分局
159.0,臺中市大肚區溪洲路241號,1,2812.0,"120.546845 ","24.144435 ",永和里,烏日分局
160.0,臺中市大肚區沙田路二段132巷50號,1,233.0,"120.551749 ","24.140716 ",新興里,烏日分局
161.0,臺中市大肚區溪洲路305號,1,63.0,"120.552154 ","24.143189 ",永和里,烏日分局
162.0,臺中市大肚區沙田路二段646號,1,116.0,"120.544470 ","24.146644 ",大肚里,烏日分局
163.0,臺中市大肚區沙田路三段38號,1,130.0,"120.551585 ","24.139465 ",頂街里,烏日分局
164.0,臺中市大肚區沙田路二段403號,1,106.0,"120.544695 ","24.147742 ",大東里,烏日分局
165.0,臺中市大肚區華山路151號,1,76.0,"120.545647 ","24.151374 ",頂街里,烏日分局
166.0,臺中市大肚區沙田路二段399巷45號,1,513.0,"120.544426 ","24.155007 ",新興里,烏日分局
167.0,臺中市大肚區沙田路二段375號,1,114.0,"120.546164 ","24.145550 ",新興里,烏日分局
168.0,臺中市大肚區沙田路三段245巷68號,1,392.0,"120.547501 ","24.155252 ",頂街里,烏日分局
169.0,臺中市大肚區沙田路二段308巷8之1號,1,58.0,"120.545772 ","24.144242 ",新興里,烏日分局
170.0,臺中市大肚區溪洲路264號,1,61.0,"120.547259 ","24.144189 ",永和里,烏日分局
171.0,臺中市大肚區自由路451號,2,2274.0,"120.537462 ","24.162246 ",頂街里,烏日分局
172.0,臺中市大肚區沙田路二段683號,1,570.0,"120.551312 ","24.142634 ",大肚里,烏日分局
173.0,臺中市大肚區溪洲路272號,1,21.0,"120.545485 ","24.145619 ",永和里,烏日分局
174.0,臺中市大肚區榮華街630號,1,717.0,"120.547693 ","24.154820 ",山陽里,烏日分局
175.0,臺中市大肚區沙田路二段780號,1,336.0,"120.544884 ","24.151821 ",頂街里,烏日分局
176.0,臺中市大肚區沙田路二段646號,1,557.0,"120.545443 ","24.146509 ",大肚里,烏日分局
177.0,臺中市大肚區沙田路三段244巷9號,1,391.0,"120.545008 ","24.163388 ",頂街里,烏日分局
178.0,臺中市大肚區仁德路60號,1,496.0,"120.544713 ","24.154292 ",大東里,烏日分局
179.0,臺中市烏日區中山路一段665號,1,110.0,"120.545708 ","24.151147 ",仁德里,烏日分局
180.0,臺中市烏日區光華街1號,1,570.0,120.54451,24.15897,湖日里,烏日分局
181.0,臺中市烏日區三民街206號,1,783.0,120.54982,24.14722,烏日里,烏日分局
182.0,臺中市烏日區光華街1號,1,318.0,"120.641454 ","24.108459 ",湖日里,烏日分局
183.0,臺中市烏日區中山路一段497號,1,1795.0,"120.620521 ","24.110693 ",仁德里,烏日分局
184.0,臺中市烏日區中山路一段497號,1,233.0,"120.622501 ","24.107668 ",仁德里,烏日分局
185.0,臺中市烏日區新興路682號,1,430.0,"120.620521 ","24.110693 ",湖日里,烏日分局
186.0,臺中市烏日區新興路316號,1,224.0,"120.635739 ","24.106693 ",烏日里,烏日分局
187.0,臺中市烏日區光華街1號,1,318.0,"120.635739 ","24.106693 ",湖日里,烏日分局
188.0,臺中市烏日區新興路2號,1,87.0,"120.618540 ","24.105972 ",烏日里,烏日分局
189.0,臺中市烏日區光華街1號,1,93.0,"120.623065 ","24.104830 ",湖日里,烏日分局
190.0,臺中市烏日區新興路664號,1,273.0,"120.620521 ","24.110693 ",湖日里,烏日分局
191.0,臺中市烏日區光華街1號,1,53.0,"120.630303 ","24.105018 ",湖日里,烏日分局
192.0,臺中市烏日區三民街107號,1,364.0,"120.620521 ","24.110693 ",烏日里,烏日分局
193.0,臺中市烏日區中山路一段663號,1,123.0,"120.618941 ","24.106159 ",仁德里,烏日分局
194.0,臺中市烏日區中山路一段499號,1,105.0,"120.587486 ","24.113451 ",仁德里,烏日分局
195.0,臺中市烏日區榮泰街100巷6號,1,1353.0,"120.621886 ","24.106207 ",湖日里,烏日分局
196.0,臺中市烏日區仁德街90號,1,1382.0,"120.632391 ","24.105208 ",仁德里,烏日分局
197.0,臺中市烏日區中山路二段196號,1,696.0,"120.635264 ","24.106622 ",烏日里,烏日分局
198.0,臺中市烏日區中山路一段497號,2,673.0,"120.615893 ","24.105388 ",仁德里,烏日分局
199.0,臺中市烏日區中山路一段548號,1,1094.0,"120.640710 ","24.103987 ",九德里,烏日分局
200.0,臺中市烏日區信義街353號,1,1728.0,"120.623799 ","24.106618 ",仁德里,烏日分局
201.0,臺中市烏日區光日路123號,2,1696.0,"120.635739 ","24.106693 ",烏日里,烏日分局
202.0,臺中市烏日區信義街99號,1,1555.0,"120.634884 ","24.106978 ",仁德里,烏日分局
203.0,臺中市烏日區仁德街130號,1,165.0,"120.634639 ","24.104797 ",仁德里,烏日分局
204.0,臺中市烏日區僑仁街35號,2,1448.0,"120.624432 ","24.105315 ",仁德里,烏日分局
205.0,臺中市烏日區興德街22號,1,1353.0,"120.640803 ","24.105070 ",九德里,烏日分局
206.0,臺中市烏日區僑仁街8號,2,819.0,"120.640207 ","24.104831 ",仁德里,烏日分局
207.0,臺中市烏日區長春街172巷3號,1,247.0,"120.639277 ","24.105378 ",九德里,烏日分局
208.0,臺中市烏日區中山路一段525號,3,1806.0,"120.638520 ","24.111851 ",仁德里,烏日分局
209.0,臺中市烏日區公園路79號,3,1716.0,"120.640213 ","24.106003 ",烏日里,烏日分局
210.0,臺中市烏日區新興路350巷8號,2,923.0,"120.639893 ","24.110133 ",烏日里,烏日分局
211.0,臺中市烏日區永春東三南路87號,1,148.0,"120.634491 ","24.106313 ",烏日里,烏日分局
212.0,臺中市烏日區永春東三南路85號,1,148.0,"120.626822 ","24.101728 ",烏日里,烏日分局
213.0,臺中市烏日區建國路417號,1,869.0,"120.623002 ","24.105155 ",烏日里,烏日分局
214.0,臺中市烏日區高鐵三路11號,1,2700.0,"120.629082 ","24.111222 ",湖日里,烏日分局
215.0,臺中市烏日區中山路一段497號,1,1050.0,"120.629067 ","24.111110 ",仁德里,烏日分局
216.0,臺中市烏日區中山路一段2之12號,12,2291.0,"120.628972 ","24.109280 ",九德里,烏日分局
217.0,臺中市烏日區長春街300號,1,948.0,"120.618006 ","24.113648 ",九德里,烏日分局
218.0,臺中市烏日區長春街300號,1,1774.0,"120.635778 ","24.106814 ",九德里,烏日分局
219.0,臺中市烏日區中山路一段341號,1,814.0,120.64423,24.11073,仁德里,烏日分局
220.0,臺中市烏日區中山路二段196號,1,187.0,120.63844,24.10974,烏日里,烏日分局
221.0,臺中市烏日區興祥街121號,1,861.0,120.63871,24.10937,九德里,烏日分局
222.0,臺中市烏日區興祥街30巷13號,1,414.0,120.64029,24.10827,仁德里,烏日分局
223.0,臺中市烏日區公園路107號,2,1463.0,120.62292,24.10671,烏日里,烏日分局
224.0,臺中市烏日區高鐵三路69號地下第4層,1,704.0,120.63738,24.10942,湖日里,烏日分局
225.0,臺中市大肚區遊園路一段2號,1,825.0,120.63962,24.10592,瑞井里,烏日分局
226.0,臺中市大肚區中蔗路2之40號,1,66.0,120.62585,24.10192,蔗廍里,烏日分局
227.0,臺中市大肚區中蔗路9號,1,120.0,120.61732,24.11331,蔗廍里,烏日分局
228.0,臺中市大肚區遊園路一段150巷136號,1,711.0,120.619419,24.108141,瑞井里,烏日分局
229.0,臺中市大肚區遊園路一段70巷1弄1號,1,1000.0,120.638241,24.105276,瑞井里,烏日分局
230.0,臺中市大肚區中蔗路30之8號,1,167.0,120.635814,24.106139,蔗廍里,烏日分局
231.0,臺中市大肚區瑞井路56號,1,733.0,"120.573226 ","24.155104 ",瑞井里,烏日分局
232.0,臺中市烏日區中山路三段130號,1,161.0,"120.580543 ","24.168994 ",三和里,烏日分局
233.0,臺中市烏日區中山路三段546號,1,176.0,"120.577473 ","24.169091 ",榮泉里,烏日分局
234.0,臺中市烏日區中山路三段688號之1,1,466.0,"120.580420 ","24.166077 ",榮泉里,烏日分局
235.0,臺中市烏日區中山路三段720號,1,48.0,"120.575328 ","24.158117 ",三和里,烏日分局
236.0,臺中市烏日區溫泉路2號,3,8165.0,"120.575725 ","24.170377 ",學田里,烏日分局
237.0,臺中市烏日區三榮路二段420號,1,1101.0,"120.573264 ","24.163367 ",榮泉里,烏日分局
238.0,臺中市烏日區三榮十五路18號,1,527.0,"120.609840 ","24.108343 ",榮泉里,烏日分局
239.0,臺中市烏日區環河路五段266號,2,1187.0,"120.620521 ","24.110693 ",榮泉里,烏日分局
240.0,臺中市烏日區三榮路二段217號,1,1050.0,"120.591061 ","24.113842 ",榮泉里,烏日分局
241.0,臺中市烏日區三榮路二段273號,1,816.0,"120.609840 ","24.108343 ",榮泉里,烏日分局
242.0,臺中市烏日區三榮十五路13號,1,2585.0,"120.588579 ","24.136679 ",榮泉里,烏日分局
243.0,臺中市烏日區三榮十二路39號,1,606.0,"120.595589 ","24.108996 ",榮泉里,烏日分局
244.0,臺中市烏日區三榮路二段198號,1,951.0,"120.599121 ","24.114719 ",榮泉里,烏日分局
245.0,臺中市烏日區環河路五段276號,1,1151.0,"120.596007 ","24.107558 ",榮泉里,烏日分局
246.0,臺中市烏日區三榮路一段181號,1,555.0,"120.596310 ","24.108398 ",三和里,烏日分局
247.0,臺中市烏日區健行北路132號,3,2785.0,"120.594671 ","24.108758 ",榮泉里,烏日分局
248.0,臺中市烏日區三榮路一段397號,1,2031.0,"120.594232 ","24.109590 ",三和里,烏日分局
249.0,臺中市烏日區三榮一路39號,2,993.0,"120.598511 ","24.109248 ",三和里,烏日分局
250.0,臺中市烏日區榮和路168號,2,1911.0,"120.598324 ","24.108529 ",榮泉里,烏日分局
251.0,臺中市烏日區三榮路二段368號,1,1068.0,"120.595510 ","24.107714 ",榮泉里,烏日分局
252.0,臺中市烏日區環河路五段126號,3,1458.0,"120.606931 ","24.105912 ",榮泉里,烏日分局
253.0,臺中市烏日區中山路三段1155號,1,2116.0,"120.595569 ","24.111564 ",榮泉里,烏日分局
254.0,臺中市烏日區學田路便行巷36弄5號,12,4905.0,"120.603198 ","24.106421 ",學田里,烏日分局
255.0,臺中市烏日區榮和路196號,1,166.0,"120.611076 ","24.104993 ",榮泉里,烏日分局
256.0,臺中市烏日區高鐵五路160號,1,1156.0,"120.598042 ","24.109591 ",三和里,烏日分局
257.0,臺中市烏日區長壽路49號,1,985.0,"120.596727 ","24.108829 ",榮泉里,烏日分局
258.0,臺中市烏日區三榮路一段80號,3,1014.0,"120.598738 ","24.106888 ",三和里,烏日分局
259.0,臺中市烏日區三榮北一路23號,3,847.0,"120.590314 ","24.113219 ",三和里,烏日分局
260.0,臺中市烏日區三榮三路11號,1,3808.0,"120.606976 ","24.120327 ",三和里,烏日分局
261.0,臺中市烏日區三榮路二段193號,2,718.0,"120.598130 ","24.110279 ",榮泉里,烏日分局
262.0,臺中市烏日區環河路四段282號,3,1220.0,"120.615098 ","24.117046 ",三和里,烏日分局
263.0,臺中市烏日區三榮路二段428號,1,207.0,"120.589378 ","24.112732 ",榮泉里,烏日分局
