建築物名稱,里別,地址,緯度,經度,避難樓層,可容納人數,轄管分局,備註
私人住宅,南崁里,桃園市蘆竹區新南路二段138號,"25.033532 ","121.301552 ",B01,51.0,蘆竹分局,
私人住宅,南崁里,桃園市蘆竹區新南路二段140號,"25.033484 ","121.301601 ",B01,28.0,蘆竹分局,
鴻雅泛醫公司,長興里,桃園市蘆竹區興隆街40巷28號,25.0581293,121.2808531,B01,114.0,蘆竹分局,
BOXFUL物流公司,長興里,桃園市蘆竹區南工路一段12號,"25.059529 ","121.278994 ",B01,492.0,蘆竹分局,
私人住宅,錦中里,桃園市蘆竹區南崁路一段231巷28號,"25.052007 ","121.284042 ",B01,41.0,蘆竹分局,
私人住宅,錦中里,桃園市蘆竹區南崁路一段231巷30號,"25.051956 ","121.284035 ",B01,40.0,蘆竹分局,
私人住宅,錦中里,桃園市蘆竹區南崁路一段231巷31號,"25.052192 ","121.284301 ",B01,60.0,蘆竹分局,
宇智鋼模工廠,錦中里,桃園市蘆竹區南崁路一段231巷27號,"25.052326 ","121.284324 ",B01,60.0,蘆竹分局,
順昌科技公司,錦中里,桃園市蘆竹區南崁路一段231巷29號,"25.052260 ","121.284310 ",B01,60.0,蘆竹分局,
宇智鋼模工廠,錦中里,桃園市蘆竹區南崁路一段231巷25號,"25.052388 ","121.284329 ",B01,64.0,蘆竹分局,
私人住宅,錦中里,桃園市蘆竹區南崁路一段231巷22號,"25.052223 ","121.284054 ",B01,40.0,蘆竹分局,
升億科技公司,瓦窯里,桃園市蘆竹區南山路一段126巷13號,"25.053791 ","121.292132 ",B01,73.0,蘆竹分局,
耀星科技公司,瓦窯里,桃園市蘆竹區南山路一段113號,25.0550392,121.290421,B01,221.0,蘆竹分局,
私人住宅,營盤里,桃園市蘆竹區六福路165巷17號,"25.060043 ","121.296010 ",B01,1151.0,蘆竹分局,
台北畫家社區,營盤里,桃園市蘆竹區六福路247巷6號,"25.060932 ","121.297938 ",B01,455.0,蘆竹分局,
五福華夏社區,福祿里,桃園市蘆竹區五福一路195號,"25.054907 ","121.294393 ",B01,677.0,蘆竹分局,
麥特林社區,中山里,桃園市蘆竹區中山路89號,"25.055229 ","121.298558 ",B01,677.0,蘆竹分局,
電通市社區,瓦窯里,桃園市蘆竹區南山路一段55號,25.0514573,121.2920255,B01,4776.0,蘆竹分局,
振益汽車修理廠,南崁里,桃園市蘆竹區新南路一段362號,"25.041115 ","121.296055 ",B01,187.0,蘆竹分局,
長榮海運大樓,南崁里,桃園市蘆竹區新南路一段163號,"25.042275 ","121.295706 ",B01,3231.0,蘆竹分局,
長榮航空大樓,南崁里,桃園市蘆竹區新南路一段376號,"25.040175 ","121.297156 ",B01,1951.0,蘆竹分局,
長榮倉儲,南崁里,桃園市蘆竹區新南路二段100號,25.0336276,121.2999821,B01,445.0,蘆竹分局,
桃通托運,南崁里,桃園市蘆竹區新南路二段144號,"25.033418 ","121.301663 ",B01,28.0,蘆竹分局,
集隆公司,南崁里,桃園市蘆竹區新南路二段150號,"25.033341 ","121.301777 ",B01,28.0,蘆竹分局,
梅園大廈社區,南崁里,桃園市蘆竹區南華一街35號,"25.043672 ","121.296319 ",B01,647.0,蘆竹分局,
瑋鑫科技公司,內厝里,桃園市蘆竹區內新路53號,"25.070322 ","121.287611 ",B01,18.0,蘆竹分局,
本源興-桃園一廠,內厝里,桃園市蘆竹區長安路二段40號,"25.064204 ","121.286392 ",B01,277.0,蘆竹分局,
華震科技公司,內厝里,桃園市蘆竹區內溪路62號,"25.067136 ","121.278231 ",B01,106.0,蘆竹分局,
私人住宅,內厝里,桃園市蘆竹區內溪路3號,"25.070875 ","121.284722 ",B01,30.0,蘆竹分局,
合興精密金屬公司,內厝里,桃園市蘆竹區內新路61號,"25.070373 ","121.287879 ",B01,204.0,蘆竹分局,
蔚揚實業公司,內厝里,桃園市蘆竹區南山路二段357巷34號,"25.069509 ","121.285702 ",B01,688.0,蘆竹分局,
聯聚汽車材料公司,內厝里,桃園市蘆竹區南山路二段90號,"25.062985 ","121.288552 ",B01,40.0,蘆竹分局,
力嵩科技公司,長興里,桃園市蘆竹區南崁路二段201巷9號,25.0568371,121.2738102,B01,144.0,蘆竹分局,
三商行公司,長興里,桃園市蘆竹區南崁路二段323號,"25.060790 ","121.270129 ",B01,3033.0,蘆竹分局,
富積電子公司,長興里,桃園市蘆竹區南崁路二段355號,"25.060811 ","121.269538 ",B01,1515.0,蘆竹分局,
明哲公司,長興里,桃園市蘆竹區南崁路二段38號,"25.057005 ","121.279728 ",B01,323.0,蘆竹分局,
松沛企業有限公司,長興里,桃園市蘆竹區南崁路二段42巷2號,"25.057252 ","121.279542 ",B01,107.0,蘆竹分局,
嘉里大榮物流中心,長興里,桃園市蘆竹區南崁路二段3號,"25.056149 ","121.280333 ",B01,240.0,蘆竹分局,
私人住宅,五福里,桃園市蘆竹區仁愛路一段466號,25.051267,121.2956433,B01,84.0,蘆竹分局,
私人住宅,五福里,桃園市蘆竹區仁愛路一段494號之1,"25.051462 ","121.296323 ",B01,106.0,蘆竹分局,
世界先進三廠,長興里,桃園市蘆竹區南崁路一段336號,"25.055560 ","121.282219 ",B01,3182.0,蘆竹分局,
富積電子公司,長興里,桃園市蘆竹區南崁路二段355號,"25.060811 ","121.269538 ",B01,1515.0,蘆竹分局,
綿春纖維工業公司,長興里,桃園市蘆竹區興隆街29-5號,"25.059608 ","121.280269 ",B01,338.0,蘆竹分局,
美麗華針織公司,長興里,桃園市蘆竹區興隆街40巷17號,"25.058430 ","121.281001 ",B01,28.0,蘆竹分局,
美麗華針織公司,長興里,桃園市蘆竹區興隆街40巷17號,"25.058430 ","121.281001 ",B01,28.0,蘆竹分局,
美麗華針織公司,長興里,桃園市蘆竹區興隆街40巷17號,"25.058430 ","121.281001 ",B01,28.0,蘆竹分局,
荃尉電子公司,長興里,桃園市蘆竹區興隆街40巷19號,"25.058153 ","121.281107 ",B01,28.0,蘆竹分局,
台源科技公司,長興里,桃園市蘆竹區興隆街40巷2號,"25.059329 ","121.280469 ",B01,34.0,蘆竹分局,
昭鎰紡織公司,內厝里,桃園市蘆竹區南山路二段261號,"25.067011 ","121.285768 ",B01,21.0,蘆竹分局,
義美食品工廠,長興里,桃園市蘆竹區南工路一段11號,"25.060314 ","121.278934 ",B01,577.0,蘆竹分局,
私人住宅,長興里,桃園市蘆竹區南工路一段14號,"25.060089 ","121.279258 ",B01,68.0,蘆竹分局,
私人住宅,長興里,桃園市蘆竹區南工路一段南工巷5號,"25.058357 ","121.278668 ",B01,44.0,蘆竹分局,
私人住宅,長興里,桃園市蘆竹區南工路一段南工巷7號,"25.058343 ","121.278726 ",B01,44.0,蘆竹分局,
私人住宅,長興里,桃園市蘆竹區南工路一段南工巷11號,"25.058250 ","121.278835 ",B01,57.0,蘆竹分局,
寶銘工業公司,長興里,桃園市蘆竹區南工路一段8-2號,"25.058588 ","121.278375 ",B01,41.0,蘆竹分局,
鑣達精機公司,長興里,桃園市蘆竹區南工路一段8-3號,"25.058648 ","121.278426 ",B01,41.0,蘆竹分局,
卓新工業公司,內厝里,桃園市蘆竹區長安路二段39巷13號,"25.063338 ","121.286536 ",B01,37.0,蘆竹分局,
台灣羽毛公司,內厝里,桃園市蘆竹區南山路二段205巷60號,"25.060946 ","121.285370 ",B01,41.0,蘆竹分局,
台灣羽毛公司,內厝里,桃園市蘆竹區南山路二段205巷60號,"25.060946 ","121.285370 ",B01,274.0,蘆竹分局,
力昶精密工業公司,內厝里,桃園市蘆竹區長安路二段39巷12號,"25.062854 ","121.286210 ",B01,22.0,蘆竹分局,
廣樵實業公司,內厝里,桃園市蘆竹區油管路一段450號,"25.063410 ","121.289550 ",B01,367.0,蘆竹分局,
漢源技研公司,內厝里,桃園市蘆竹區長安路二段39巷4號,"25.063603 ","121.286601 ",B01,50.0,蘆竹分局,
五和金屬公司,內厝里,桃園市蘆竹區大豐街43巷6號,"25.062460 ","121.292039 ",B01,48.0,蘆竹分局,
萬事易精機公司,內厝里,桃園市蘆竹區大豐街38號,"25.062265 ","121.291325 ",B01,85.0,蘆竹分局,
馬爾斯國際公司,內厝里,桃園市蘆竹區長興路三段247號,"25.070644 ","121.275529 ",B01,56.0,蘆竹分局,
九景企業公司,內厝里,桃園市蘆竹區大豐街12號,"25.062608 ","121.289879 ",B01,683.0,蘆竹分局,
精湛光學公司,內厝里,桃園市蘆竹區長安路二段100號,"25.064008 ","121.284291 ",B01,108.0,蘆竹分局,
亞昕科技公司,內厝里,桃園市蘆竹區內溪路51號,"25.066320 ","121.277793 ",B01,72.0,蘆竹分局,
私人住宅,內厝里,桃園市蘆竹區內溪路33號,"25.068287 ","121.280669 ",B01,28.0,蘆竹分局,
捷寶實業公司,內厝里,桃園市蘆竹區大豐街31巷10號,"25.062719 ","121.291293 ",B01,22.0,蘆竹分局,
台灣特殊金屬公司,內厝里,桃園市蘆竹區內溪路49號,"25.066694 ","121.278235 ",B01,262.0,蘆竹分局,
長榮航勤洗衣廠,內厝里,桃園市蘆竹區長興路三段7號,"25.072750 ","121.284080 ",B01,176.0,蘆竹分局,
私人住宅,內厝里,桃園市蘆竹區大豐街37號,"25.062460 ","121.291436 ",B01,98.0,蘆竹分局,
聖機機械公司,內厝里,桃園市蘆竹區南山路二段205巷58號,"25.060946 ","121.285370 ",B01,130.0,蘆竹分局,
更竣企業有限公司,內厝里,桃園市蘆竹區南山路二段394巷63-1號,"25.071491 ","121.287488 ",B01,113.0,蘆竹分局,
耿鼎企業公司,內厝里,桃園市蘆竹區內溪路42號,"25.070295 ","121.282369 ",B01,56.0,蘆竹分局,
國祥冷凍機械公司,內厝里,桃園市蘆竹區南山路二段12巷78號,"25.061180 ","121.288870 ",B01,133.0,蘆竹分局,
私人住宅,內厝里,桃園市蘆竹區內溪路39巷44號,"25.066265 ","121.281018 ",B01,66.0,蘆竹分局,
耿鼎企業公司,內厝里,桃園市蘆竹區內溪路48號,"25.069229 ","121.281026 ",B01,617.0,蘆竹分局,
成鋼企業公司,內厝里,桃園市蘆竹區內溪路52號,"25.068451 ","121.280152 ",B01,48.0,蘆竹分局,
巨群實業有限公司,內厝里,桃園市蘆竹區內溪路39巷39號,"25.066265 ","121.281018 ",B01,45.0,蘆竹分局,
私人住宅,南崁里,桃園市蘆竹區南崁路175巷9號,"25.047006 ","121.293606 ",B01,307.0,蘆竹分局,
怡和拓展公司,長興里,桃園市蘆竹區南崁路二段281號,"25.060150 ","121.271168 ",B01,94.0,蘆竹分局,
七信工業公司,內厝里,桃園市蘆竹區長興路三段219巷9號,"25.070779 ","121.277637 ",B01,92.0,蘆竹分局,
世界先進三廠,長興里,桃園市蘆竹區南崁路一段336號,"25.055560 ","121.282219 ",B01,3182.0,蘆竹分局,
文華新城社區,羊稠里,桃園市蘆竹區中山路20號,"25.051479 ","121.301199 ",B01,3135.0,蘆竹分局,
綠色生活社區,長壽里,桃園市蘆竹區長春路84號,"25.052606 ","121.299642 ",B01,4032.0,蘆竹分局,
宏福大樓,南榮里,桃園市蘆竹區中正路131號,"25.044266 ","121.293654 ",B01,351.0,蘆竹分局,
中悅花園社區,營盤里,桃園市蘆竹區六福路253號,"25.061056 ","121.297045 ",B01,5491.0,蘆竹分局,
私人住宅,興榮里,桃園市蘆竹區南竹路一段63號,"25.046455 ","121.290298 ",B01,602.0,蘆竹分局,
南崁薇閣社區,中山里,桃園市蘆竹區五福六路40號,"25.054763 ","121.297416 ",B01,1883.0,蘆竹分局,
統領台北社區,長壽里,桃園市蘆竹區中山路73號,"25.052806 ","121.300101 ",B01,1994.0,蘆竹分局,
太子地球村社區,長壽里,桃園市蘆竹區中山路45號,"25.051369 ","121.300884 ",B01,6548.0,蘆竹分局,
翔程針織工廠,瓦窯里,桃園市蘆竹區六福路22號,"25.057587 ","121.291009 ",B01,265.0,蘆竹分局,
三商行公司,長興里,桃園市蘆竹區南崁路二段323號,"25.060790 ","121.270129 ",B01,3033.0,蘆竹分局,
義美食品工廠,長興里,桃園市蘆竹區南工路一段11號,"25.060314 ","121.278934 ",B01,577.0,蘆竹分局,
五福名門社區,福祿里,桃園市蘆竹區福祿一街31號,"25.055251 ","121.296802 ",B01,869.0,蘆竹分局,
桃園小天母社區,中山里,桃園市蘆竹區中山路115號,"25.055713 ","121.298230 ",B01,1168.0,蘆竹分局,
華碩電腦公司,山鼻里,桃園市蘆竹區南山路三段17巷10號,"25.077148 ","121.283060 ",B01,3817.0,蘆竹分局,
中悅班芙春天社區,吉祥里,桃園市蘆竹區吉林路101號,"25.049381 ","121.298469 ",B01,3511.0,蘆竹分局,
城邦精密工業公司,內厝里,桃園市蘆竹區南山路二段5巷16號,"25.061413 ","121.286725 ",B01,71.0,蘆竹分局,
敬鵬工業公司,內厝里,桃園市蘆竹區內厝街46號,"25.060030 ","121.286760 ",B01,777.0,蘆竹分局,
長榮新第社區,營盤里,桃園市蘆竹區六福路191號,"25.059808 ","121.296713 ",B01,1925.0,蘆竹分局,
私人住宅,長興里,桃園市蘆竹區南崁路二段402巷28號,"25.063904 ","121.269133 ",B01,33.0,蘆竹分局,
中悅麗池社區,羊稠里,桃園市蘆竹區中山路8號,"25.050450 ","121.301835 ",B01,4376.0,蘆竹分局,
歐洲之星社區,中山里,桃園市蘆竹區中山路167號,"25.057320 ","121.297186 ",B01,2552.0,蘆竹分局,
中悅凱薩春天社區,吉祥里,桃園市蘆竹區吉林路119號,"25.049123 ","121.299118 ",B01,3823.0,蘆竹分局,
理想發展企業公司,南榮里,桃園市蘆竹區新南路一段305巷5弄3號,"25.038975 ","121.294631 ",B01,747.0,蘆竹分局,
馬可波羅社區,南崁里,桃園市蘆竹區鎮江街38號,"25.043327 ","121.295818 ",B01,2363.0,蘆竹分局,
明和電子公司,內厝里,桃園市蘆竹區榮安路6號,"25.059933 ","121.284689 ",B01,1098.0,蘆竹分局,
長榮集團大樓,南崁里,桃園市蘆竹區新南路一段376號之3,"25.040393 ","121.297532 ",B01,1384.0,蘆竹分局,
長榮警備大樓,南榮里,桃園市蘆竹區新南路一段305巷10號,"25.039735 ","121.295595 ",B01,2967.0,蘆竹分局,
興普科技公司,內厝里,桃園市蘆竹區內溪路47號,"25.066710 ","121.278676 ",B01,1070.0,蘆竹分局,
泰博科技公司,內厝里,桃園市蘆竹區南山路二段5巷12號,"25.061413 ","121.287144 ",B01,1313.0,蘆竹分局,
青青校園社區,福祿里,桃園市蘆竹區福祿一街189號,"25.056864 ","121.296330 ",B01,1134.0,蘆竹分局,
台茂購物中心,錦中里,桃園市蘆竹區南崁路一段112號,"25.053471 ","121.288383 ",B01B02,4565.0,蘆竹分局,
佳駿針織公司,內厝里,桃園市蘆竹區長興路三段45號,"25.072924 ","121.281794 ",B01,262.0,蘆竹分局,
華馥公爵社區,中山里,桃園市蘆竹區中山路123-5號,"25.055603 ","121.298028 ",B01,912.0,蘆竹分局,
薇閣皇家社區,福祿里,桃園市蘆竹區福祿一街197號,"25.057160 ","121.296240 ",B01,2166.0,蘆竹分局,
長榮祥邸社區,吉祥里,桃園市蘆竹區南祥路111號,"25.048314 ","121.300810 ",B01,3109.0,蘆竹分局,
台灣怡凌染化紡織,內厝里,桃園市蘆竹區內溪路39巷13號,"25.066901 ","121.280141 ",B01,100.0,蘆竹分局,
台灣怡凌染化紡織,內厝里,桃園市蘆竹區內溪路39巷11號,"25.067118 ","121.280058 ",B01,190.0,蘆竹分局,
南崁國小,長壽里,桃園市蘆竹區吉林路160號,"25.050201 ","121.300935 ",B01,475.0,蘆竹分局,
豪門世家社區,中山里,桃園市蘆竹區福祿一街34號,"25.055221 ","121.297079 ",B01,877.0,蘆竹分局,
吉景名園社區,營福里,桃園市蘆竹區中山路108巷13號,"25.056045 ","121.298579 ",B01,1124.0,蘆竹分局,
五福名門社區二期,中山里,桃園市蘆竹區福祿一街56號,"25.056159 ","121.296938 ",B01,581.0,蘆竹分局,
怡王生物科技公司,山鼻里,桃園市蘆竹區南山路三段17巷1號,"25.076867 ","121.284550 ",B01,273.0,蘆竹分局,
本源興-桃園二廠,內厝里,桃園市蘆竹區長安路二段120巷17號,"25.065270 ","121.282710 ",B01,297.0,蘆竹分局,
甜蜜進行曲社區,營福里,桃園市蘆竹區六福路148號,"25.059798 ","121.297152 ",B01,2797.0,蘆竹分局,
永大機電工業公司,山鼻里,桃園市蘆竹區南山路三段17巷11號,"25.076355 ","121.282612 ",B01,1434.0,蘆竹分局,
光明國中,興榮里,桃園市蘆竹區光明路一段123號,"25.044422 ","121.289250 ",B01,2620.0,蘆竹分局,
吉祥如意公寓大廈,五福里,桃園市蘆竹區中山路75號,"25.053190 ","121.299876 ",B01,363.0,蘆竹分局,
宜誠香榭社區,中山里,桃園市蘆竹區中山路125巷1號,"25.055534 ","121.297466 ",B01,1318.0,蘆竹分局,
中悅仁愛廣場社區,羊稠里,桃園市蘆竹區仁愛路三段46號,"25.053055 ","121.301441 ",B01,2711.0,蘆竹分局,
永大機電工業公司,山鼻里,桃園市蘆竹區南山路三段17巷11號,"25.076355 ","121.282612 ",B01,1434.0,蘆竹分局,
竹城吉川社區,吉祥里,桃園市蘆竹區吉林路99號,"25.049734 ","121.298329 ",B01,2333.0,蘆竹分局,
蘆竹區農會大樓,南崁里,桃園市蘆竹區南崁路175巷10號,"25.047236 ","121.293161 ",B01,1452.0,蘆竹分局,
凱薩宮庭社區,營福里,桃園市蘆竹區中山路136號,"25.057312 ","121.298010 ",B01,840.0,蘆竹分局,
翔育針織工廠,內厝里,桃園市蘆竹區長安路二段56號,"25.063991 ","121.285765 ",B01,136.0,蘆竹分局,
太子香格里拉社區,營盤里,桃園市蘆竹區六福路276號,"25.061665 ","121.297495 ",B01,1814.0,蘆竹分局,
弘達電子公司,長興里,桃園市蘆竹區南崁路二段57號,"25.056851 ","121.278885 ",B01,177.0,蘆竹分局,
中悅國寶社區,南崁里,桃園市蘆竹區新南路一段127號,"25.043219 ","121.295447 ",B01,2252.0,蘆竹分局,
中悅高登社區,吉祥里,桃園市蘆竹區中山路25號,"25.049931 ","121.301632 ",B01,2548.0,蘆竹分局,
時茂企業公司,瓦窯里,桃園市蘆竹區六福路20號,"25.057082 ","121.290772 ",B01,30.0,蘆竹分局,
私人住宅,錦中里,桃園市蘆竹區南崁路一段77號,"25.051019 ","121.288946 ",B01,315.0,蘆竹分局,
天悅社區,福祿里,桃園市蘆竹區五福一路90號,"25.056124 ","121.294445 ",B01,117.0,蘆竹分局,
私人住宅,錦興里,桃園市蘆竹區光明路二段251號,"25.049271 ","121.289787 ",B01,187.0,蘆竹分局,
長榮華邸社區,羊稠里,桃園市蘆竹區中山路羊稠巷1號,"25.051314 ","121.303327 ",B01,400.0,蘆竹分局,
南崁國小,長壽里,桃園市蘆竹區吉林路160號,"25.050201 ","121.300935 ",B01,1372.0,蘆竹分局,
宜誠雅居社區,吉祥里,桃園市蘆竹區吉林路29號,"25.050250 ","121.296988 ",B01,695.0,蘆竹分局,
大毅科技公司,山鼻里,桃園市蘆竹區南山路二段470巷26號,"25.074007 ","121.288833 ",B01,606.0,蘆竹分局,
光明國中,興榮里,桃園市蘆竹區光明路一段123號,"25.044422 ","121.289250 ",B01,1068.0,蘆竹分局,
優house社區,五福里,桃園市蘆竹區五福六路81號,"25.054243 ","121.295430 ",B01,1355.0,蘆竹分局,
采風樓公寓大廈,錦中里,桃園市蘆竹區中正路346號,"25.049699 ","121.291056 ",B01,219.0,蘆竹分局,
遠東世家社區,五福里,桃園市蘆竹區仁愛路二段7號,"25.053310 ","121.298829 ",B01,2969.0,蘆竹分局,
冠倫台北社區,長壽里,桃園市蘆竹區長壽二街1號,"25.051828 ","121.299338 ",B01,717.0,蘆竹分局,
宜誠桂冠社區,長壽里,桃園市蘆竹區吉林路128號,"25.050125 ","121.297943 ",B01,1289.0,蘆竹分局,
薇閣千喜社區,瓦窯里,桃園市蘆竹區五福路86號,"25.050576 ","121.293853 ",B01,2082.0,蘆竹分局,
人文學苑社區,福祿里,桃園市蘆竹區五福一路175號,"25.055378 ","121.294633 ",B01,1122.0,蘆竹分局,
太子太陽城社區,營盤里,桃園市蘆竹區六福路217號,"25.060154 ","121.297066 ",B01,2995.0,蘆竹分局,
曼哈頓社區,興榮里,桃園市蘆竹區中正路287號,"25.047405 ","121.291839 ",B01,3967.0,蘆竹分局,
農學物流公司,長興里,桃園市蘆竹區厚生路2號,"25.055979 ","121.277781 ",B01,2772.0,蘆竹分局,
將門名邸社區,錦興里,桃園市蘆竹區南竹路一段158號,"25.044909 ","121.288430 ",B01,640.0,蘆竹分局,
狀元帝寶社區,中山里,桃園市蘆竹區中山路125巷2號,"25.056121 ","121.297594 ",B01,2693.0,蘆竹分局,
臻愛社區,興榮里,桃園市蘆竹區南竹路一段65號,"25.046402 ","121.290103 ",B01,1690.0,蘆竹分局,
世界先進三廠,長興里,桃園市蘆竹區南崁路一段336號,"25.055560 ","121.282219 ",B01,3182.0,蘆竹分局,
鴻揚電機公司,福祿里,桃園市蘆竹區五福六路56巷27弄10號,"25.055337 ","121.295862 ",B01,807.0,蘆竹分局,
日光花園社區,福祿里,桃園市蘆竹區福祿一街39號,"25.055717 ","121.296778 ",B01,1918.0,蘆竹分局,
白金漢宮社區,中山里,桃園市蘆竹區福祿一街190號,"25.056992 ","121.296665 ",B01,1833.0,蘆竹分局,
文學院社區,長壽里,桃園市蘆竹區吉林路28號,"25.050500 ","121.296995 ",B01,2055.0,蘆竹分局,
竹城京都社區,吉祥里,桃園市蘆竹區吉林路39號,"25.050191 ","121.297116 ",B01,2579.0,蘆竹分局,
南崁高中,五福里,桃園市蘆竹區仁愛路二段1號,"25.052454 ","121.297583 ",B01,1537.0,蘆竹分局,
竹城靜岡社區,長壽里,桃園市蘆竹區長春路7巷17號,"25.050761 ","121.298520 ",B01,1701.0,蘆竹分局,
大來賞社區,錦中里,桃園市蘆竹區錦中街2號,"25.051728 ","121.288728 ",B01,572.0,蘆竹分局,
竹城千葉園社區,吉祥里,桃園市蘆竹區吉林路71號,"25.049878 ","121.297833 ",B01,1376.0,蘆竹分局,
天悅社區,福祿里,桃園市蘆竹區五福一路69號,"25.056888 ","121.295141 ",B01,1111.0,蘆竹分局,
竹城大阪社區,長壽里,桃園市蘆竹區吉林路132巷2號,"25.050187 ","121.298395 ",B01,2335.0,蘆竹分局,
豪景四季社區,營盤里,桃園市蘆竹區六福一路1號,"25.061447 ","121.298490 ",B01,5441.0,蘆竹分局,
航空SMART社區,錦興里,桃園市蘆竹區錦明街39號,"25.050106 ","121.289316 ",B01,1272.0,蘆竹分局,
海漾社區,興榮里,桃園市蘆竹區光明路一段111號,"25.044039 ","121.290662 ",B01,2133.0,蘆竹分局,
海涵社區,錦興里,桃園市蘆竹區光明路二段30號,"25.046026 ","121.287974 ",B01,1695.0,蘆竹分局,
張榮發文物館,吉祥里,桃園市蘆竹區中山路6號,"25.049903 ","121.302249 ",B01,868.0,蘆竹分局,
昇捷水芭蕾社區,錦中里,桃園市蘆竹區南崁路一段80號,"25.052092 ","121.288799 ",B01,3746.0,蘆竹分局,
御薇閣社區,福祿里,桃園市蘆竹區福祿一街81號,"25.056007 ","121.296661 ",B01,3539.0,蘆竹分局,
快樂GO社區,中山里,桃園市蘆竹區五福一路13號,"25.058454 ","121.295368 ",B01,2128.0,蘆竹分局,
中悅帝寶社區,南榮里,桃園市蘆竹區中正路29號,"25.042354 ","121.294562 ",B01,5192.0,蘆竹分局,
中悅晶華社區,吉祥里,桃園市蘆竹區吉林路143號,"25.048983 ","121.300065 ",B01,1096.0,蘆竹分局,
長榮國際公司,南榮里,桃園市蘆竹區新南路一段305巷10號,"25.039735 ","121.295595 ",B01,1714.0,蘆竹分局,
友威科技公司,長興里,桃園市蘆竹區厚生路51號,"25.054566 ","121.279034 ",B01,2860.0,蘆竹分局,
蘆竹戶政事務所,內厝里,桃園市蘆竹區長安路二段236號,"25.063134 ","121.280592 ",B01,1870.0,蘆竹分局,
南華大廈,南崁里,桃園市蘆竹區南華一街168號,"25.043303 ","121.294689 ",B01,637.0,蘆竹分局,
耀晉國際公司,長興里,桃園市蘆竹區南崁路二段142巷35號,"25.062117 ","121.275553 ",B01,93.0,蘆竹分局,
中悅天鵝堡社區,羊稠里,桃園市蘆竹區中山路50號,"25.053932 ","121.299851 ",B01,10309.0,蘆竹分局,
私人住宅,興榮里,桃園市蘆竹區南平街38-3號,"25.045828 ","121.290316 ",B01,246.0,蘆竹分局,
領航星世紀社區,長興里,桃園市蘆竹區南崁路一段286號,"25.054455 ","121.284437 ",B01,3265.0,蘆竹分局,
立成光電公司,內厝里,桃園市蘆竹區南山路二段303號,"25.068622 ","121.285208 ",B01,1956.0,蘆竹分局,
天隆電子鍍金公司,錦興里,桃園市蘆竹區錦福路2號,"25.049002 ","121.285448 ",B01,66.0,蘆竹分局,
尊爵天際大飯店,錦中里,桃園市蘆竹區南崁路一段108號,"25.051831 ","121.288404 ",B01,5231.0,蘆竹分局,
