編號,地址,經度,緯度,里別,避難所在之地下樓層數,可容納人數,轄管分局,"unnamed (1)","unnamed (2)"
96.0,臺中市北區賴厝里太原路11號,120.675264,24.165579,賴厝里,2.0,"  667 ",第二分局,,
97.0,臺中市北區賴福里進化北路416號,120.675661,24.163336,賴福里,1.0,"  141 ",第二分局,,
98.0,臺中市北區建興里梅亭街238號,120.68271,24.160628,建興里,1.0,"  944 ",第二分局,,
99.0,臺中市北區建興里衛道路89之2號," 120.68578",24.162881,建興里,1.0,"  604 ",第二分局,,
100.0,臺中市北區頂厝里永興街165號,120.681985,24.15941,頂厝里,2.0,"  668 ",第二分局,,
101.0,臺中市北區金龍里榮華街26號,120.686777,24.159834,金龍里,1.0,"  217 ",第二分局,,
102.0,臺中市北區金龍里榮華街11號,120.691353,24.159738,金龍里,1.0,"  497 ",第二分局,,
103.0,臺中市北區崇德里榮華街201之9號," 120.68661",24.166559,崇德里,1.0,"  258 ",第二分局,,
104.0,臺中市北區金龍里梅亭街47號,120.690192,24.159988,金龍里,1.0,"  200 ",第二分局,,
105.0,臺中市北區金龍里梅亭街7號,120.690777,24.159893,金龍里,1.0,"  125 ",第二分局,,
106.0,臺中市北區育德里健行路585號,120.677072,24.158982,育德里,2.0,"  289 ",第二分局,,
107.0,臺中市北區育德里梅川東路三段169號,120.676554,24.158508,育德里,1.0,"  781 ",第二分局,,
108.0,臺中市北區邱厝里健行路359號,120.6810245,24.1588792,邱厝里,1.0,"  90 ",第二分局,,
109.0,臺中市北區育德里健行路443號,120.680376,24.158467,育德里,1.0,"  2,319 ",第二分局,,
110.0,臺中市北區育德里美德街177號,120.680269,24.158059,育德里,1.0,"  500 ",第二分局,,
111.0,臺中市北區育德里美德街189號之4,120.679600,24.158314,育德里,1.0,"  176 ",第二分局,,
112.0,臺中市北區育德里美德街187號,120.680269,24.158059,育德里,1.0,"  666 ",第二分局,,
113.0,臺中市北區育德里篤行路408號,120.6715104,24.158315,育德里,1.0,"  445 ",第二分局,,
114.0,臺中市北區育德里公園路225號,120.677335,24.150896,育德里,1.0,"  367 ",第二分局,,
115.0,臺中市北區邱厝里健行路359號,120.6810245,24.1588792,邱厝里,2.0,"  1,094 ",第二分局,,
116.0,臺中市北區賴厝里太原路二段199號,120.681163,24.165478,賴厝里,4.0,"  2,382 ",第二分局,,
117.0,臺中市北區頂厝里漢口路四段326號,120.684399,24.166834,頂厝里,2.0,"  552 ",第二分局,,
118.0,臺中市北區育德里篤行路377號,120.673545,24.158003,育德里,3.0,"  990 ",第二分局,,
119.0,臺中市北區崇德里崇德路一段462號,120.6829817,24.1635376,崇德里,2.0,"  725 ",第二分局,,
120.0,臺中市北區育德里健行路485號,120.677902,24.159037,育德里,2.0,"  498 ",第二分局,,
121.0,臺中市北區邱厝里育德路1號,120.6783071,24.1571781,邱厝里,4.0,"  1,342 ",第二分局,,
122.0,臺中市北區賴厝里山西路一段53號,120.675072,24.165642,賴厝里,2.0,"  1,046 ",第二分局,,
123.0,臺中市北區賴厝里綏遠路一段28號,120.68084,24.166264,賴厝里,2.0,"  1,946 ",第二分局,,
124.0,臺中市北區賴厝里漢口路四段82號,120.676141,24.166843,賴厝里,3.0,"  1,783 ",第二分局,,
125.0,臺中市北區頂厝里進化北路227號,120.684549,24.162814,頂厝里,1.0,"  280 ",第二分局,,
126.0,臺中市北區建興里崇德路一段268號,120.6852283,24.16204935,建興里,2.0,"  1,335 ",第二分局,,
127.0,臺中市北區邱厝里學士路91號," 120.68164",24.156668,邱厝里,1.0,"  1,235 ",第二分局,,
128.0,臺中市北區賴旺里青島路12號,120.673786,24.173261,賴旺里,1.0,"  1,419 ",第二分局,,
129.0,臺中市北區建興里衛道路155之1號,120.682924,24.162299,建興里,1.0,"  264 ",第二分局,,
130.0,臺中市北區頂厝里學士路312號,120.6837,24.166834,頂厝里,1.0,"  1,064 ",第二分局,,
131.0,臺中市北區梅川里綏遠路一段72號," 120.68119",24.168617,梅川里,1.0,"  2,246 ",第二分局,,
132.0,臺中市北區梅川里漢口路四段345巷18號,120.6771179,24.1670854,梅川里,1.0,"  723 ",第二分局,,
133.0,臺中市北區賴村里大德街221號," 120.67850",24.162944,賴村里,1.0,"  248 ",第二分局,,
134.0,臺中市北區頂厝里進化北路259號,120.683826,24.162818,頂厝里,1.0,"  781 ",第二分局,,
135.0,臺中市北區賴福里太原路二段182號,120.680384,24.164971,賴福里,1.0,"  2,258 ",第二分局,,
136.0,臺中市北區賴福里太原路二段88號之3," 120.67847",24.165137,賴福里,1.0,"  2,331 ",第二分局,,
137.0,臺中市北區賴村里學士路275之1號,120.680574,24.162837,賴村里,1.0,"  1,429 ",第二分局,,
138.0,臺中市北區育德里育德路100號,120.674278,24.157841,育德里,1.0,"  1,754 ",第二分局,,
139.0,臺中市北區賴福里太原路二段90號,120.6798997,24.16503797,賴福里,3.0,"  1,895 ",第二分局,,
140.0,臺中市北區育德里育德路88號,120.675544,24.157689,育德里,3.0,"  1,071 ",第二分局,,
141.0,臺中市北區崇德里北興街77號2樓之2,120.687988,24.163986,崇德里,1.0,"  627 ",第二分局,,
142.0,臺中市北區賴福里太原路二段86號,120.6778619,24.16515435,賴福里,1.0,"  699 ",第二分局,,
143.0,臺中市北區賴村里五常街263號,120.679897,24.161272,賴村里,1.0,"  683 ",第二分局,,
144.0,臺中市北區賴福里中清路一段490號,120.674306,24.164394,賴福里,1.0,"  768 ",第二分局,,
145.0,臺中市北區邱厝里中清路一段167號,120.676339,24.156849,邱厝里,1.0,"  623 ",第二分局,,
146.0,臺中市北區梅川里文昌東一街109號,120.676863,24.167646,梅川里,2.0,"  1,742 ",第二分局,,
147.0,臺中市北區賴厝里東漢街3號,120.679491,24.166354,賴厝里,1.0,"  495 ",第二分局,,
148.0,臺中市北區金龍里益華街115號,120.68968,24.161304,金龍里,1.0,"  249 ",第二分局,,
149.0,臺中市北區金龍里榮華街7號,120.686535,24.159395,金龍里,1.0,"  413 ",第二分局,,
150.0,臺中市北區建興里健行路198巷16號2樓之1,120.6860217,24.16001082,建興里,1.0,"  227 ",第二分局,,
151.0,臺中市北區賴村里學士路267號,120.6808234,24.16239246,賴村里,1.0,"  499 ",第二分局,,
152.0,臺中市北區金龍里學士路106號," 120.68135",24.157736,金龍里,2.0,"  11,492 ",第二分局,,
153.0,臺中市北區崇德里太原路三段8號,120.685445,24.164904,崇德里,1.0,"  1,705 ",第二分局,,
154.0,臺中市北區崇德里太原路三段63號,120.687551,24.16533,崇德里,1.0,"  557 ",第二分局,,
155.0,臺中市北區賴厝里東漢街7號,120.6794873,24.16626487,賴厝里,1.0,"  1,184 ",第二分局,,
156.0,臺中市北區邱厝里大德街47號,120.6788077,24.15723711,邱厝里,1.0,"  1,297 ",第二分局,,
157.0,臺中市北區建興里崇德路一段256巷2號," 120.68610",24.161186,建興里,1.0,"  1,158 ",第二分局,,
158.0,臺中市北區賴厝里漢口路四段168號," 120.67849",24.166268,賴厝里,1.0,"  991 ",第二分局,,
159.0,臺中市北區金龍里金龍街112號,120.6877528,24.15866946,金龍里,1.0,"  1,472 ",第二分局,,
160.0,臺中市北區賴村里五常街193號,120.679847,24.159965,賴村里,1.0,"  383 ",第二分局,,
161.0,臺中市北區金龍里益華街79號,120.6890547,24.16015207,金龍里,1.0,"  332 ",第二分局,,
162.0,臺中市北區育德里育德路98號,120.674768,24.157935,育德里,1.0,"  3,131 ",第二分局,,
163.0,臺中市北區金龍里三民路三段315巷17號,120.6882585,24.15754192,金龍里,1.0,"  262 ",第二分局,,
164.0,臺中市北區賴厝里山西路一段50號," 120.67552",24.165946,賴厝里,1.0,"  1,957 ",第二分局,,
165.0,臺中市北區梅川里文昌東二街146號,120.6778224,24.16949415,梅川里,1.0,"  263 ",第二分局,,
166.0,臺中市北區賴村里學士路181號,120.6808286,24.15980613,賴村里,1.0,"  418 ",第二分局,,
167.0,臺中市北區頂厝里崇德路一段625號," 120.68491",24.167497,頂厝里,3.0,"  577 ",第二分局,,
168.0,臺中市北區金龍里三民路三段315巷33號,120.6880904,24.15759264,金龍里,1.0,"  510 ",第二分局,,
169.0,臺中市北區金龍里三民路三段329號,120.6888082,24.15772927,金龍里,1.0,"  927 ",第二分局,,
170.0,臺中市北區健行里忠太西路32號," 120.66768",24.161747,健行里,1.0,"  126 ",第二分局,,
171.0,臺中市北區健行里德化街607號,120.666844,24.161453,健行里,1.0,"  470 ",第二分局,,
172.0,臺中市北區淡溝里博館路1號,120.669337,24.158953,淡溝里,1.0,"  1,415 ",第二分局,,
173.0,臺中市北區明德里漢口路三段76號," 120.66829",24.167042,明德里,1.0,"  246 ",第二分局,,
174.0,臺中市北區淡溝里博館東街21號,120.666443,24.15483,淡溝里,1.0,"  306 ",第二分局,,
175.0,臺中市北區淡溝里博館一街12號," 120.66724",24.155001,淡溝里,1.0,"  78 ",第二分局,,
176.0,臺中市北區淡溝里博館路87號,120.666853,24.155204,淡溝里,3.0,"  540 ",第二分局,,
177.0,臺中市北區淡溝里博館二街32號,120.666721,24.154391,淡溝里,2.0,"  567 ",第二分局,,
178.0,臺中市北區淡溝里博館路26號,120.669527,24.157882,淡溝里,2.0,"  1,135 ",第二分局,,
179.0,臺中市北區淡溝里美德街395號,120.671165,24.158620,淡溝里,1.0,"  414 ",第二分局,,
180.0,臺中市北區淡溝里美德街486號," 120.67149",24.158714,淡溝里,12.0,"  1,977 ",第二分局,,
181.0,臺中市北區大湖里公園路128號,120.678203,24.149242,大湖里,1.0,"  518 ",第二分局,,
182.0,臺中市北區大湖里湖北街36號,120.679136,24.148924,大湖里,1.0,"  471 ",第二分局,,
183.0,臺中市北區大湖里文祥街2號,120.6797,24.148734,大湖里,1.0,"  210 ",第二分局,,
184.0,臺中市北區文莊里五權路231號,120.675725,24.150107,文莊里,1.0,"  216 ",第二分局,,
185.0,臺中市北區文莊里文化街46號,120.675529,24.152294,文莊里,1.0,"  246 ",第二分局,,
186.0,臺中市北區大湖里湖北街66號,120.679157,24.151102,大湖里,1.0,"  250 ",第二分局,,
187.0,臺中市北區文莊里日進街3號,120.675124,24.151396,文莊里,1.0,"  127 ",第二分局,,
188.0,臺中市北區文莊里日進街1號,120.675161,24.151401,文莊里,2.0,"  645 ",第二分局,,
189.0,臺中市北區中達里英才路286號," 120.67129",24.156113,中達里,1.0,"  302 ",第二分局,,
190.0,臺中市北區五常里英才路1號,120.678332,24.155387,五常里,1.0,"  1,239 ",第二分局,,
191.0,臺中市北區五常里五義街132號,120.681611,24.154805,五常里,1.0,"  260 ",第二分局,,
192.0,臺中市北區五常里學士路87號,120.6806625,24.15514844,五常里,1.0,"  324 ",第二分局,,
193.0,臺中市北區五常里五義街141號,120.681436,24.154247,五常里,1.0,"  244 ",第二分局,,
