類別,電腦編號,村里別,地址,地下樓層數,可容納人數,轄管分局,備註,placemark_address
公寓,48.0,公正里,雲林縣斗六市公正里17鄰平等街19至33號,1.0,1264.0,斗六分局,,雲林縣斗六市公正里17鄰平等街19至33號
公寓,49.0,公正里,雲林縣斗六市公正里16鄰莊敬路216號,1.0,1974.0,斗六分局,,雲林縣斗六市公正里16鄰莊敬路216號
公寓,50.0,公正里,雲林縣斗六市公正里中正路212號,1.0,238.0,斗六分局,,雲林縣斗六市公正里中正路212號
公寓,51.0,公正里,雲林縣斗六市公正里中正路173號,1.0,1737.0,斗六分局,,雲林縣斗六市公正里中正路173號
公寓,52.0,公正里,雲林縣斗六市公正里10鄰中正路21巷52-60號,1.0,1001.0,斗六分局,,雲林縣斗六市公正里10鄰中正路21巷52-60號
公寓,53.0,公正里,雲林縣斗六市公正里林北街1號,1.0,1754.0,斗六分局,,雲林縣斗六市公正里林北街1號
大樓,54.0,公正里,雲林縣斗六市公正里10鄰利民街16號,1.0,1758.0,斗六分局,,雲林縣斗六市公正里10鄰利民街16號
成大醫院,55.0,公正里,雲林縣斗六市公正里1鄰莊敬路345號,1.0,5480.0,斗六分局,,雲林縣斗六市公正里1鄰莊敬路345號
雲林國小,56.0,公正里,雲林縣斗六市公正里9鄰莊敬路111號,1.0,1606.0,斗六分局,,雲林縣斗六市公正里9鄰莊敬路111號
成大醫院,57.0,公正里,雲林縣斗六市公正里莊敬路345號,1.0,5480.0,斗六分局,,雲林縣斗六市公正里莊敬路345號
公寓,58.0,公誠里,雲林縣斗六市上海路206號、長春路22至26號,1.0,1008.0,斗六分局,,雲林縣斗六市上海路206號、長春路22至26號
公寓,59.0,公誠里,雲林縣斗六市公誠里上海路243至251號、西安街21至23號,1.0,893.0,斗六分局,,雲林縣斗六市公誠里上海路243至251號、西安街21至23號
公寓,60.0,公誠里,雲林縣斗六市公誠里南京路373至377號、長春路48至50號,1.0,765.0,斗六分局,,雲林縣斗六市公誠里南京路373至377號、長春路48至50號
公寓,61.0,公誠里,雲林縣斗六市公誠里漢口路216號,1.0,308.0,斗六分局,,雲林縣斗六市公誠里漢口路216號
公寓,62.0,公誠里,雲林縣斗六市公誠里漢口路199號,1.0,266.0,斗六分局,,雲林縣斗六市公誠里漢口路199號
公寓,63.0,公誠里,雲林縣斗六市公誠里上海路217號,1.0,484.0,斗六分局,,雲林縣斗六市公誠里上海路217號
公寓,64.0,公誠里,雲林縣斗六市公誠里上海路260巷1-3號,1.0,1702.0,斗六分局,,雲林縣斗六市公誠里上海路260巷1-3號
公寓,65.0,公誠里,雲林縣斗六市公誠里鎮北路105號,1.0,1088.0,斗六分局,,雲林縣斗六市公誠里鎮北路105號
公寓,66.0,公誠里,雲林縣斗六市公誠里西安街11號之2,1.0,911.0,斗六分局,,雲林縣斗六市公誠里西安街11號之2
公寓,67.0,公誠里,雲林縣斗六市公誠里西安街36至42號,1.0,563.0,斗六分局,,雲林縣斗六市公誠里西安街36至42號
公寓,68.0,公誠里,雲林縣斗六市公誠里漢口路196號,1.0,382.0,斗六分局,,雲林縣斗六市公誠里漢口路196號
公寓,69.0,公誠里,雲林縣斗六市公誠里22鄰內環路495號,1.0,476.0,斗六分局,,雲林縣斗六市公誠里22鄰內環路495號
公誠國小(忠孝樓),70.0,公誠里,雲林縣斗六市公誠里北平路95號,1.0,429.0,斗六分局,,雲林縣斗六市公誠里北平路95號
承龍幼稚園,71.0,公誠里,雲林縣斗六市公誠里北平路177號,1.0,678.0,斗六分局,,雲林縣斗六市公誠里北平路177號
公誠國小(育英樓),72.0,公誠里,雲林縣斗六市公誠里北平路95號,1.0,920.0,斗六分局,,雲林縣斗六市公誠里北平路95號
公誠國小(信義樓),73.0,公誠里,雲林縣斗六市公誠里北平路95號,1.0,1225.0,斗六分局,,雲林縣斗六市公誠里北平路95號
大山電纜,74.0,公誠里,雲林縣斗六市公誠里上海路222號之1,1.0,566.0,斗六分局,,雲林縣斗六市公誠里上海路222號之1
公寓,75.0,太平里,雲林縣斗六市太平里成功路42巷14號,1.0,222.0,斗六分局,,雲林縣斗六市太平里成功路42巷14號
公寓,76.0,太平里,雲林縣斗六市太平里城頂街90號,1.0,122.0,斗六分局,,雲林縣斗六市太平里城頂街90號
公寓,77.0,太平里,雲林縣斗六市太平里城頂街47號,1.0,316.0,斗六分局,,雲林縣斗六市太平里城頂街47號
公寓,78.0,太平里,雲林縣斗六市太平里成功路46-1號,1.0,180.0,斗六分局,,雲林縣斗六市太平里成功路46-1號
公寓,79.0,太平里,雲林縣斗六市太平里城頂街57號,1.0,266.0,斗六分局,,雲林縣斗六市太平里城頂街57號
新興宮,80.0,四維里,雲林縣斗六市四維里中正路60號,1.0,266.0,斗六分局,,雲林縣斗六市四維里中正路60號
公寓,81.0,光興里,雲林縣斗六市光興里民生路128號,1.0,224.0,斗六分局,,雲林縣斗六市光興里民生路128號
公寓,82.0,光興里,雲林縣斗六市光興里民生路98號,1.0,485.0,斗六分局,,雲林縣斗六市光興里民生路98號
公寓,83.0,光興里,雲林縣斗六市光興里民生路121號,1.0,170.0,斗六分局,,雲林縣斗六市光興里民生路121號
公寓,84.0,光興里,雲林縣斗六市光興里愛國街78-4號,1.0,1665.0,斗六分局,,雲林縣斗六市光興里愛國街78-4號
