編號,村里別,地址,可容納人數,轄區分局,經度,緯度,避難所在之地下樓層數
92.0,西安里,臺中市豐原區西安里西安街92巷24號,23.0,豐原分局,"120.710179 ","24.249293 ",1.0
93.0,西安里,臺中市豐原區西安里圓環南路130號,34.0,豐原分局,"120.710370 ","24.247396 ",1.0
94.0,西安里,臺中市豐原區西安里西安街95之3號,310.0,豐原分局,"120.712176 ","24.249047 ",1.0
95.0,西安里,臺中市豐原區西安里圓環南路128號,68.0,豐原分局,"120.710468 ","24.247371 ",1.0
96.0,西安里,臺中市豐原區西安里圓環南路96巷25號,30.0,豐原分局,"120.711270 ","24.247380 ",1.0
97.0,西安里,臺中市豐原區西安里中興路200號,339.0,豐原分局,"120.712147 ","24.247288 ",1.0
98.0,西安里,臺中市豐原區西安里中興路196號,27.0,豐原分局,"120.712239 ","24.247502 ",1.0
99.0,西安里,臺中市豐原區西安里瑞安路17號,41.0,豐原分局,"120.712622 ","24.247955 ",1.0
100.0,西安里,臺中市豐原區西安里瑞安路13號,34.0,豐原分局,"120.712408 ","24.247990 ",1.0
101.0,西安里,臺中市豐原區西安里西勢路114巷38號,14.0,豐原分局,"120.707258 ","24.245432 ",1.0
102.0,西安里,臺中市豐原區西安里西勢路114巷42弄11號,35.0,豐原分局,"120.707181 ","24.245677 ",1.0
103.0,西安里,臺中市豐原區西安里西勢路114巷58號,30.0,豐原分局,"120.706670 ","24.245453 ",1.0
104.0,西安里,臺中市豐原區西安里西勢路188號,11.0,豐原分局,"120.707066 ","24.244128 ",1.0
105.0,西安里,臺中市豐原區西安里西勢路114巷186號,11.0,豐原分局,"120.707825 ","24.245668 ",1.0
106.0,西安里,臺中市豐原區西安里西勢路114巷20號,122.0,豐原分局,"120.707688 ","24.245367 ",1.0
107.0,西安里,臺中市豐原區西安里西勢路114巷22號,180.0,豐原分局,"120.707586 ","24.245376 ",1.0
108.0,西勢里,臺中市豐原區西勢里圓環南路23號,68.0,豐原分局,"120.712801 ","24.245374 ",1.0
109.0,西勢里,臺中市豐原區西勢里中山路335號,103.0,豐原分局,"120.715084 ","24.248783 ",1.0
110.0,西勢里,臺中市豐原區西勢里中山路329號,102.0,豐原分局,"120.715124 ","24.248671 ",1.0
111.0,西勢里,臺中市豐原區西勢里中山路333號,68.0,豐原分局,"120.715096 ","24.248742 ",1.0
112.0,西勢里,臺中市豐原區西勢里西安街69巷28號,54.0,豐原分局,"120.713153 ","24.248242 ",1.0
113.0,西勢里,臺中市豐原區西勢里中山路323號,72.0,豐原分局,"120.715158 ","24.248559 ",1.0
114.0,西勢里,臺中市豐原區西勢里中山路319號,45.0,豐原分局,"120.715189 ","24.248472 ",1.0
115.0,西勢里,臺中市豐原區西勢里中興路126號,102.0,豐原分局,"120.714921 ","24.248197 ",1.0
116.0,西勢里,臺中市豐原區西勢里西安街69巷26號,39.0,豐原分局,"120.713061 ","24.248239 ",1.0
117.0,西勢里,臺中市豐原區西勢里西安街69巷27號,54.0,豐原分局,"120.713106 ","24.248239 ",1.0
118.0,西勢里,臺中市豐原區西勢里西安街69巷15號,58.0,豐原分局,"120.713341 ","24.248529 ",1.0
119.0,西勢里,臺中市豐原區西勢里西安街48號,74.0,豐原分局,"120.713717 ","24.249389 ",1.0
120.0,西勢里,臺中市豐原區西勢里中山路369號,68.0,豐原分局,"120.714772 ","24.249656 ",1.0
121.0,西勢里,臺中市豐原區西勢里中山路423號,140.0,豐原分局,"120.714409 ","24.250734 ",1.0
122.0,西勢里,臺中市豐原區西安里西安街167號,24.0,豐原分局,"120.710396 ","24.248799 ",1.0
123.0,西勢里,臺中市豐原區西安里西安街95-1號,35.0,豐原分局,"120.712316 ","24.249064 ",1.0
124.0,西勢里,臺中市豐原區西安里圓環南路117號,73.0,豐原分局,"120.710232 ","24.246984 ",1.0
125.0,西勢里,臺中市豐原區西勢里西安街69巷19號,402.0,豐原分局,"120.713387 ","24.248370 ",1.0
126.0,西勢里,臺中市豐原區西勢里西勢路111號,38.0,豐原分局,"120.708607 ","24.245266 ",1.0
127.0,西勢里,臺中市豐原區西勢里西勢路113號,38.0,豐原分局,"120.708578 ","24.245239 ",1.0
128.0,西勢里,臺中市豐原區西勢里西勢路115號,38.0,豐原分局,"120.708543 ","24.245211 ",1.0
129.0,西勢里,臺中市豐原區西勢里西勢路119號,38.0,豐原分局,"120.708466 ","24.245142 ",1.0
130.0,西勢里,臺中市豐原區西勢里西勢路121號,38.0,豐原分局,"120.708434 ","24.245113 ",1.0
131.0,西勢里,臺中市豐原區西勢里西勢路123號,38.0,豐原分局,"120.708406 ","24.245086 ",1.0
132.0,西勢里,臺中市豐原區西勢里西勢路125號,38.0,豐原分局,"120.708374 ","24.245059 ",1.0
133.0,西勢里,臺中市豐原區西勢里西勢路127號,38.0,豐原分局,"120.708339 ","24.245030 ",1.0
134.0,西勢里,臺中市豐原區西勢里西勢路129號,38.0,豐原分局,"120.708309 ","24.245000 ",1.0
135.0,西勢里,臺中市豐原區西勢里西勢路131號,38.0,豐原分局,"120.708276 ","24.244973 ",1.0
136.0,西勢里,臺中市豐原區西勢里西勢路133號,38.0,豐原分局,"120.708242 ","24.244945 ",1.0
137.0,西勢里,臺中市豐原區西勢里西勢路135號,38.0,豐原分局,"120.708213 ","24.244916 ",1.0
138.0,西勢里,臺中市豐原區西勢里西勢路137號,38.0,豐原分局,"120.708183 ","24.244886 ",1.0
139.0,西勢里,臺中市豐原區西勢里西勢路139號,38.0,豐原分局,"120.708150 ","24.244861 ",1.0
140.0,西勢里,臺中市豐原區西勢里西勢路141號,38.0,豐原分局,"120.708118 ","24.244833 ",1.0
141.0,西勢里,臺中市豐原區西勢里西勢路143號,38.0,豐原分局,"120.708087 ","24.244804 ",1.0
142.0,西勢里,臺中市豐原區西勢里西勢路145號,38.0,豐原分局,"120.708055 ","24.244776 ",1.0
143.0,西勢里,臺中市豐原區西勢里西勢路147號,38.0,豐原分局,"120.708025 ","24.244748 ",1.0
144.0,西勢里,臺中市豐原區西勢里西勢路149號,38.0,豐原分局,"120.707992 ","24.244717 ",1.0
145.0,西勢里,臺中市豐原區西勢里西勢路151號,38.0,豐原分局,"120.707961 ","24.244686 ",1.0
146.0,西勢里,臺中市豐原區西勢里西勢路153號,38.0,豐原分局,"120.707925 ","24.244655 ",1.0
147.0,西勢里,臺中市豐原區西勢里西勢路155號,38.0,豐原分局,"120.707880 ","24.244615 ",1.0
148.0,西勢里,臺中市豐原區西勢里西勢路157號,38.0,豐原分局,"120.707880 ","24.244615 ",1.0
149.0,西勢里,臺中市豐原區西勢里西勢路159號,38.0,豐原分局,"120.707753 ","24.244503 ",1.0
150.0,西勢里,臺中市豐原區西勢里西勢路161號,38.0,豐原分局,"120.707723 ","24.244467 ",1.0
151.0,西勢里,臺中市豐原區西勢里西勢路163號,38.0,豐原分局,"120.707684 ","24.244429 ",1.0
152.0,西勢里,臺中市豐原區西勢里西勢路165號,38.0,豐原分局,"120.707642 ","24.244391 ",1.0
153.0,西勢里,臺中市豐原區西勢里西勢路167號,38.0,豐原分局,"120.707642 ","24.244391 ",1.0
154.0,西勢里,臺中市豐原區西勢里西勢路169號,38.0,豐原分局,"120.707642 ","24.244391 ",1.0
155.0,西勢里,臺中市豐原區西勢里西勢路171號,38.0,豐原分局,"120.707441 ","24.244192 ",1.0
156.0,西勢里,臺中市豐原區西勢里西勢路173號,38.0,豐原分局,"120.707441 ","24.244192 ",1.0
157.0,西勢里,臺中市豐原區西勢里西勢路175號,38.0,豐原分局,"120.707441 ","24.244192 ",1.0
158.0,西勢里,臺中市豐原區西勢里西勢路177號,38.0,豐原分局,"120.708607 ","24.245266 ",1.0
159.0,西勢里,臺中市豐原區西勢里西勢路179號,38.0,豐原分局,"120.708607 ","24.245266 ",1.0
160.0,西勢里,臺中市豐原區西勢里西勢路181號,38.0,豐原分局,"120.708607 ","24.245266 ",1.0
161.0,西勢里,臺中市豐原區西勢里西勢路183號,38.0,豐原分局,"120.708607 ","24.245266 ",1.0
162.0,西勢里,臺中市豐原區西勢里西勢路185號,38.0,豐原分局,"120.708607 ","24.245266 ",1.0
163.0,民生里,臺中市豐原區民生里市前街14號,22.0,豐原分局,"120.715568 ","24.248563 ",1.0
164.0,民生里,臺中市豐原區民生里市前街22號,26.0,豐原分局,"120.715616 ","24.248736 ",1.0
165.0,民生里,臺中市豐原區民生里市前街30號,15.0,豐原分局,"120.715644 ","24.248913 ",1.0
166.0,民生里,臺中市豐原區民生里市前街38號,22.0,豐原分局,"120.715691 ","24.249085 ",1.0
167.0,民生里,臺中市豐原區民生里府前街119號,44.0,豐原分局,"120.716808 ","24.249345 ",1.0
168.0,民生里,臺中市豐原區民生里府前街125號,20.0,豐原分局,"120.716655 ","24.249327 ",1.0
169.0,民生里,臺中市豐原區民生里府前街137巷6號,102.0,豐原分局,"120.716447 ","24.249092 ",1.0
170.0,民生里,臺中市豐原區民生里府前街99號,77.0,豐原分局,"120.717307 ","24.249410 ",1.0
171.0,民生里,臺中市豐原區民生里府前街145號,18.0,豐原分局,"120.716196 ","24.249271 ",1.0
172.0,民生里,臺中市豐原區民生里中興路35號,60.0,豐原分局,"120.717634 ","24.248145 ",1.0
173.0,民生里,臺中市豐原區民生里中興路110號,27.0,豐原分局,"120.715727 ","24.248300 ",1.0
174.0,民生里,臺中市豐原區民生里中興路98號,19.0,豐原分局,"120.715924 ","24.248301 ",1.0
175.0,民生里,臺中市豐原區民生里中興路45號,18.0,豐原分局,"120.717380 ","24.248163 ",1.0
176.0,民生里,臺中市豐原區民生里中興路44號,22.0,豐原分局,"120.717541 ","24.248297 ",1.0
177.0,民生里,臺中市豐原區民生里中興路39號,26.0,豐原分局,"120.717521 ","24.248158 ",1.0
178.0,民生里,臺中市豐原區民生里中興路84號,28.0,豐原分局,"120.716331 ","24.248305 ",1.0
179.0,民生里,臺中市豐原區民生里市前街12號,61.0,豐原分局,"120.715559 ","24.248525 ",1.0
180.0,民生里,臺中市豐原區民生里市前街2號,77.0,豐原分局,"120.715515 ","24.248317 ",1.0
181.0,民生里,臺中市豐原區民生里中興路22巷5號,187.0,豐原分局,"120.717876 ","24.248498 ",1.0
182.0,東勢里,臺中市豐原區東勢里中山路418號,27.0,豐原分局,"120.715226 ","24.247223 ",1.0
183.0,東勢里,臺中市豐原區東勢里中山路442號,27.0,豐原分局,"120.715458 ","24.248125 ",1.0
184.0,東勢里,臺中市豐原區東勢里中山路448號,27.0,豐原分局,"120.715425 ","24.248025 ",1.0
185.0,東勢里,臺中市豐原區東勢里中山路450號,27.0,豐原分局,"120.715435 ","24.248065 ",1.0
186.0,東勢里,臺中市豐原區東勢里中興路61號,27.0,豐原分局,"120.716697 ","24.248144 ",1.0
187.0,東勢里,臺中市豐原區東勢里中興路73號,27.0,豐原分局,"120.716378 ","24.248163 ",1.0
188.0,東勢里,臺中市豐原區東勢里育才街46號,27.0,豐原分局,"120.716032 ","24.247118 ",1.0
189.0,東勢里,臺中市豐原區東勢里育才街48巷1號,27.0,豐原分局,"120.715897 ","24.247194 ",1.0
190.0,東勢里,臺中市豐原區東勢里育才街42號,27.0,豐原分局,"120.716091 ","24.247012 ",1.0
191.0,東勢里,臺中市豐原區東勢里民生街50巷26號,27.0,豐原分局,"120.716302 ","24.247302 ",1.0
192.0,豐榮里,臺中市豐原區豐榮里三民路152號,44.0,豐原分局,"120.719278 ","24.253579 ",1.0
193.0,豐榮里,臺中市豐原區豐榮里三民路150巷13號,135.0,豐原分局,"120.719206 ","24.254121 ",1.0
194.0,豐榮里,臺中市豐原區豐榮里三民路158號,19.0,豐原分局,"120.719143 ","24.253553 ",1.0
195.0,豐榮里,臺中市豐原區豐榮里三民路156號,20.0,豐原分局,"120.719187 ","24.253557 ",1.0
