行政區,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
萬華區,WZA00263,菜園里,臺北市萬華區西昌街29巷14號,"25.04268,121.501226",1,"41 ",萬華分局,
萬華區,WZA00267,菜園里,臺北市萬華區西昌街29巷18弄16號,"25.042155,121.501279",1,"148 ",萬華分局,
萬華區,WZA00266,菜園里,臺北市萬華區西昌街29巷18弄12號,"25.042255,121.50124",1,"81 ",萬華分局,
萬華區,WZA00132,菜園里,臺北市萬華區內江街111號,"25.04186,121.50109",1,"308 ",萬華分局,
萬華區,WZA01950,菜園里,臺北市萬華區西昌街37號,"25.042565,121.500726",1,"45 ",萬華分局,
萬華區,WZA00253,菜園里,臺北市萬華區西昌街49號,"25.042307,121.500733",1,"470 ",萬華分局,
萬華區,WZA01934,菜園里,臺北市萬華區雅江街26-1號,"25.042292,121.50151",1,"53 ",萬華分局,
萬華區,WZA01313,菜園里,臺北市萬華區環河南路一段151號,"25.042028,121.50031",1,"174 ",萬華分局,
萬華區,WZA01953,菜園里,臺北市萬華區雅江街24號,"25.042421,121.501499",1,"42 ",萬華分局,
萬華區,WZA01949,菜園里,臺北市萬華區西昌街35號,"25.042565,121.500726",1,"46 ",萬華分局,
萬華區,WZA02244,菜園里,臺北市萬華區內江街101號,"25.041826,121.501538",1,"1794 ",萬華分局,
萬華區,WZA00269,菜園里,臺北市萬華區西昌街29巷18弄8號,"25.042349,121.501237",1,"85 ",萬華分局,
萬華區,WZA00268,菜園里,臺北市萬華區西昌街29巷18弄2號,"25.042487,121.501275",1,"132 ",萬華分局,
萬華區,WZA001933,菜園里,臺北市萬華區雅江街26號,"25.042369,121.501502",1,"53 ",萬華分局,
萬華區,WZA001932,菜園里,臺北市萬華區雅江街26號,"25.042369,121.501502",1,"53 ",萬華分局,
萬華區,WZA001931,菜園里,"臺北市萬華區雅江街20號 ","25.042524,121.501489",1,"48 ",萬華分局,
萬華區,WZA001942,菜園里,臺北市萬華區環河南路一段129號,"25.042636,121.500556",1,"53 ",萬華分局,
萬華區,WZA001941,菜園里,臺北市萬華區西昌街54號,"25.042103,121.500691",1,"48 ",萬華分局,
萬華區,WZA001940,菜園里,臺北市萬華區西昌街48號,"25.042207,121.500654",1,"46 ",萬華分局,
萬華區,WZA001945,菜園里,臺北市萬華區環河南路一段137號,"25.042489,121.500506",1,"56 ",萬華分局,
萬華區,WZA001944,菜園里,臺北市萬華區環河南路一段133號,"25.042565,121.500536",1,"53 ",萬華分局,
萬華區,WZA001943,菜園里,臺北市萬華區環河南路一段131號,"25.042608,121.50055",1,"53 ",萬華分局,
萬華區,WZA001948,菜園里,臺北市萬華區環河南路一段143號,"25.042254,121.500424",1,"46 ",萬華分局,
萬華區,WZA001947,菜園里,臺北市萬華區環河南路一段141號,"25.042314,121.500448",1,"46 ",萬華分局,
萬華區,WZA001946,菜園里,臺北市萬華區環河南路一段139號,"25.042448,121.500497",1,"50 ",萬華分局,
萬華區,WZA00262,菜園里,臺北市萬華區西昌街29巷11號,"25.042801,121.501065",1,"76 ",萬華分局,
萬華區,WZA01938,菜園里,臺北市萬華區雅江街28巷7號,"25.042186,121.501357",1,"50 ",萬華分局,
萬華區,WZA01937,菜園里,臺北市萬華區雅江街28巷5號,"25.042193,121.501414",1,"50 ",萬華分局,
萬華區,WZA01936,菜園里,臺北市萬華區雅江街28巷3號,"25.042193,121.501437",1,"46 ",萬華分局,
萬華區,WZA01935,菜園里,臺北市萬華區雅江街28巷1號,"25.042203,121.501502",1,"46 ",萬華分局,
萬華區,WZA02378,菜園里,臺北市萬華區康定路82號,"25.0421,121.50225",1,"678 ",萬華分局,
萬華區,WZA01951,菜園里,臺北市萬華區西昌街29巷8弄4號,"25.042591,121.501045",1,"45 ",萬華分局,
萬華區,WZA01952,菜園里,臺北市萬華區西昌街29巷8弄18號,"25.042591,121.501045",1,"45 ",萬華分局,
萬華區,WZA00265,菜園里,臺北市萬華區西昌街29巷23號,"25.042766,121.50133",1,"28 ",萬華分局,
萬華區,WZA01964,菜園里,臺北市萬華區西昌街29巷17號,"25.04276,121.501203",1,"40 ",萬華分局,
萬華區,WZA00963,菜園里,臺北市萬華區雅江街8號,"25.043233,121.501426",1,"40 ",萬華分局,
萬華區,WZA02388,菜園里,臺北市萬華區環河南路一段77號,"25.044626,121.501519",1,"409 ",萬華分局,
萬華區,WZA02387,菜園里,臺北市萬華區環河南路一段99號,"25.043637,121.500934",4,"3514 ",萬華分局,
萬華區,WZA001954,菜園里,臺北市萬華區成都路169號,"25.04401,121.502104",1,"46 ",萬華分局,
萬華區,WZA02365,菜園里,臺北市萬華區雅江街8-2號,"25.043084,121.50139",1,"397 ",萬華分局,
萬華區,WZA01956,菜園里,臺北市萬華區成都路118號,"25.043804,121.501131",1,"40 ",萬華分局,
萬華區,WZA01955,菜園里,臺北市萬華區成都路116號,"25.043782,121.501217",1,"46 ",萬華分局,
萬華區,WZA01960,菜園里,臺北市萬華區雅江街8-4號,"25.04304,121.501388",1,"33 ",萬華分局,
萬華區,WZA01959,菜園里,臺北市萬華區雅江街12號,"25.042981,121.501334",1,"37 ",萬華分局,
萬華區,WZA01958,菜園里,臺北市萬華區雅江街14號,"25.042894,121.50139",1,"40 ",萬華分局,
萬華區,WZA01967,菜園里,臺北市萬華區西昌街29巷11~13號,"25.04277,121.501425",1,"38 ",萬華分局,
萬華區,WZA01966,菜園里,臺北市萬華區西昌街29巷23號,"25.042766,121.50133",1,"40 ",萬華分局,
萬華區,WZA01965,菜園里,臺北市萬華區西昌街29巷19號,"25.042764,121.501285",1,"40 ",萬華分局,
萬華區,WZA01957,菜園里,臺北市萬華區成都路120號,"25.043842,121.500998",1,"46 ",萬華分局,
萬華區,WZA01310,菜園里,臺北市萬華區環河南路一段121號,"25.042935,121.50066",1,"245 ",萬華分局,
萬華區,WZA0181,菜園里,臺北市萬華區成都路167號,"25.043983,121.502163",1,"324 ",萬華分局,
萬華區,WZA01968,菜園里,臺北市萬華區峨眉街122號,"25.044519,121.50236",1,"133 ",萬華分局,
萬華區,WZA01970,菜園里,臺北市萬華區峨眉街130號,"25.044665,121.501735",1,"40 ",萬華分局,
萬華區,WZA02412,菜園里,臺北市萬華區成都路120號,"25.043842,121.500998",1,"198 ",萬華分局,
萬華區,WZA02240,菜園里,臺北市萬華區康定路62~64號,"25.033383,121.500326",1,"401 ",萬華分局,
萬華區,WZA02353,菜園里,臺北市萬華區康定路60號,"25.042601,121.502312",1,"1069 ",萬華分局,
萬華區,WZA02323,菜園里,臺北市萬華區成都路106號,"25.043593,121.502042",1,"496 ",萬華分局,
萬華區,WZA02406,菜園里,臺北市萬華區成都路100-1號,"25.043294,121.502446",1,"974 ",萬華分局,
萬華區,WZA00573,菜園里,臺北市萬華區昆明街77號,"25.043206,121.504953",1,"861 ",萬華分局,
萬華區,WZA02275,菜園里,臺北市萬華區成都路81號,"25.043016,121.505272",1,"2202 ",萬華分局,
萬華區,WZA00183,菜園里,臺北市萬華區成都路67號,"25.042912,121.505692",1,"90 ",萬華分局,
萬華區,WZA00405,菜園里,臺北市萬華區西寧南路72號,"25.043279,121.505984",1,"558 ",萬華分局,
萬華區,WZA00653,華中里,臺北市萬華區武成街15號,"25.01827,121.495799",1,"66 ",萬華分局,
萬華區,WZA01178,華中里,臺北市萬華區武成街15號,"25.01827,121.495799",1,"61 ",萬華分局,
萬華區,WZA01179,華中里,臺北市萬華區武成街15號,"25.01827,121.495799",1,"21 ",萬華分局,
萬華區,WZA02019,華中里,臺北市萬華區萬大路536號,"25.018597,121.496609",1,"29 ",萬華分局,
萬華區,WZA02020,華中里,臺北市萬華區萬大路538號,"25.01856,121.496585",1,"29 ",萬華分局,
萬華區,WZA02021,華中里,臺北市萬華區萬大路544號,"25.018488,121.49654",1,"20 ",萬華分局,
萬華區,WZA02022,華中里,臺北市萬華區萬大路546號,"25.018453,121.496519",1,"24 ",萬華分局,
萬華區,WZA02023,華中里,臺北市萬華區萬大路548號,"25.018436,121.496508",1,"24 ",萬華分局,
萬華區,WZA02024,華中里,臺北市萬華區萬大路550號,"25.018395,121.496482",1,"20 ",萬華分局,
萬華區,WZA02025,華中里,臺北市萬華區武成街11巷18弄6號,"25.018122,121.495652",1,"20 ",萬華分局,
萬華區,WZA02026,華中里,臺北市萬華區武成街35巷18號,"25.01811,121.495017",1,"24 ",萬華分局,
萬華區,WZA02027,華中里,臺北市萬華區武成街35巷22號,"25.017949,121.494912",1,"22 ",萬華分局,
萬華區,WZA02028,華中里,臺北市萬華區武成街35巷26號,"25.017817,121.494825",1,"17 ",萬華分局,
萬華區,WZA02029,華中里,臺北市萬華區武成街35巷16弄17號,"25.018315,121.494705",1,"17 ",萬華分局,
萬華區,WZA02030,華中里,臺北市萬華區武成街35巷16弄1號,"25.018196,121.494921",1,"26 ",萬華分局,
萬華區,WZA02031,華中里,臺北市萬華區武成街35巷16弄9號,"25.018089,121.494803",1,"29 ",萬華分局,
萬華區,WZA00655,華中里,臺北市萬華區武成街11巷16號,"25.018103,121.495733",1,"58 ",萬華分局,
萬華區,WZA00657,華中里,臺北市萬華區武成街35巷3號,"25.018228,121.495243",1,"202 ",萬華分局,
萬華區,WZA00658,華中里,臺北市萬華區武成街35巷7號,"25.018066,121.495273",1,"138 ",萬華分局,
萬華區,WZA01097,華中里,臺北市萬華區萬大路580號,"25.017735,121.496066",1,"204 ",萬華分局,
萬華區,WZA01180,華中里,臺北市萬華區萬大路618巷53號,"25.018053,121.494308",1,"20 ",萬華分局,
萬華區,WZA01181,華中里,臺北市萬華區萬大路618巷57號,"25.018142,121.494266",1,"36 ",萬華分局,
萬華區,WZA01183,華中里,臺北市萬華區萬大路640巷70號,"25.01695,121.495555",1,"557 ",萬華分局,
萬華區,WZA01377,華中里,臺北市萬華區環河南路三段333號,"25.017645,121.494265",1,"33 ",萬華分局,
萬華區,WZA01378,華中里,臺北市萬華區環河南路三段345-1號,"25.017305,121.494643",1,"97 ",萬華分局,
萬華區,WZA02032,華中里,臺北市萬華區萬大路566號,"25.018018,121.496246",1,"46 ",萬華分局,
萬華區,WZA02033,華中里,臺北市萬華區萬大路568號,"25.017989,121.496227",1,"48 ",萬華分局,
萬華區,WZA02034,華中里,臺北市萬華區萬大路586號,"25.017616,121.495988",1,"46 ",萬華分局,
萬華區,WZA02035,華中里,臺北市萬華區萬大路600號,"25.017544,121.495943",1,"46 ",萬華分局,
萬華區,WZA02036,華中里,臺北市萬華區萬大路602號,"25.017517,121.495925",1,"46 ",萬華分局,
萬華區,WZA02346,華中里,臺北市萬華區環河南路三段373號,"25.016949,121.49533",1,"1010 ",萬華分局,
萬華區,WZA01090,華中里,臺北市萬華區萬大路426號,"25.020959,121.498114",1,"132 ",萬華分局,
萬華區,WZA01091,華中里,臺北市萬華區萬大路434號,"25.020772,121.497996",1,"404 ",萬華分局,
萬華區,WZA01092,華中里,臺北市萬華區萬大路454號,"25.020375,121.497746",1,"362 ",萬華分局,
萬華區,WZA01093,華中里,臺北市萬華區萬大路464號,"25.02014,121.497598",1,"73 ",萬華分局,
萬華區,WZA01146,華中里,臺北市萬華區萬大路424巷17號,"25.021305,121.496987",1,"286 ",萬華分局,
萬華區,WZA01148,華中里,臺北市萬華區萬大路424巷25號,"25.021277,121.496697",1,"304 ",萬華分局,
萬華區,WZA01150,華中里,臺北市萬華區萬大路424巷7號,"25.021304,121.497409",1,"397 ",萬華分局,
萬華區,WZA01157,華中里,臺北市萬華區萬大路486巷10弄38號,"25.020303,121.49687",1,"134 ",萬華分局,
萬華區,WZA01161,華中里,臺北市萬華區萬大路486巷28弄33號,"25.021021,121.497001",1,"21 ",萬華分局,
萬華區,WZA02037,華中里,臺北市萬華區萬大路486巷28弄48號,"25.020989,121.496548",1,"74 ",萬華分局,
萬華區,WZA02038,華中里,臺北市萬華區萬大路486巷28弄35號,"25.021115,121.497069",1,"149 ",萬華分局,
萬華區,WZA02039,華中里,臺北市萬華區萬大路430號,"25.020871,121.498058",1,"249 ",萬華分局,
萬華區,WZA02040,華中里,臺北市萬華區萬大路460號,"25.020244,121.497663",1,"124 ",萬華分局,
萬華區,WZA02331,華中里,臺北市萬華區萬大路486巷12號,"25.020001,121.496917",1,"265 ",萬華分局,
萬華區,WZA01094,華中里,臺北市萬華區萬大路490號,"25.019615,121.49726",1,"114 ",萬華分局,
萬華區,WZA01095,華中里,臺北市萬華區萬大路500號,"25.019418,121.497135",1,"438 ",萬華分局,
萬華區,WZA01096,華中里,臺北市萬華區萬大路508號,"25.019176,121.496979",1,"250 ",萬華分局,
萬華區,WZA01155,華中里,臺北市萬華區萬大路486巷1號,"25.019755,121.497086",1,"124 ",萬華分局,
萬華區,WZA01158,華中里,臺北市萬華區萬大路486巷11弄1號,"25.01967,121.49688",1,"201 ",萬華分局,
萬華區,WZA01159,華中里,臺北市萬華區萬大路486巷11弄14號,"25.019746,121.496744",1,"116 ",萬華分局,
萬華區,WZA01160,華中里,臺北市萬華區萬大路486巷11弄36號,"25.019756,121.496422",1,"53 ",萬華分局,
萬華區,WZA01162,華中里,臺北市萬華區萬大路486巷37弄15號,"25.019748,121.496191",1,"73 ",萬華分局,
萬華區,WZA01173,華中里,臺北市萬華區萬大路506巷24號,"25.019203,121.496424",1,"174 ",萬華分局,
萬華區,WZA01175,華中里,臺北市萬華區萬大路534巷10號,"25.018951,121.496242",1,"228 ",萬華分局,
萬華區,WZA02041,華中里,臺北市萬華區萬大路502號,"25.019362,121.4971",1,"53 ",萬華分局,
萬華區,WZA02042,華中里,臺北市萬華區萬大路504號,"25.019331,121.49708",1,"56 ",萬華分局,
萬華區,WZA02043,華中里,臺北市萬華區萬大路486巷11弄3號,"25.019618,121.496846",1,"60 ",萬華分局,
萬華區,WZA02044,華中里,臺北市萬華區萬大路486巷11弄5號,"25.019586,121.496825",1,"56 ",萬華分局,
萬華區,WZA02045,華中里,臺北市萬華區萬大路530號,"25.018809,121.496748",1,"60 ",萬華分局,
萬華區,WZA02046,華中里,臺北市萬華區萬大路486巷25號,"25.019998,121.496605",1,"50 ",萬華分局,
萬華區,WZA02047,華中里,臺北市萬華區萬大路486巷27號,"25.020008,121.496587",1,"66 ",萬華分局,
萬華區,WZA02049,華中里,臺北市萬華區萬大路486巷11弄25號之1,"25.019293,121.496225",1,"40 ",萬華分局,
萬華區,WZA02050,華中里,臺北市萬華區萬大路486巷11弄31號,"25.019393,121.496191",1,"40 ",萬華分局,
萬華區,WZA02048,華中里,臺北市萬華區萬大路526號,"25.018884,121.496795",1,"60 ",萬華分局,
萬華區,WZA00656,華中里,臺北市萬華區武成街28巷7號,"25.018833,121.495482",1,"44 ",萬華分局,
萬華區,WZA00659,華中里,臺北市萬華區武成街56巷10號,"25.019138,121.495069",1,"42 ",萬華分局,
萬華區,WZA01163,華中里,臺北市萬華區萬大路486巷37弄18號,"25.020064,121.496014",1,"273 ",萬華分局,
萬華區,WZA01165,華中里,臺北市萬華區萬大路486巷46弄30號,"25.021011,121.496075",1,"132 ",萬華分局,
萬華區,WZA01176,華中里,臺北市萬華區萬大路534巷35號,"25.019116,121.495658",1,"44 ",萬華分局,
萬華區,WZA01177,華中里,臺北市萬華區萬大路534巷37號,"25.01914,121.495626",1,"40 ",萬華分局,
萬華區,WZA01164,華中里,臺北市萬華區萬大路486巷37弄86號,"25.019487,121.49574",1,"88 ",萬華分局,
萬華區,WZA00519,華江里,臺北市萬華區和平西路三段382巷7號,"25.034685,121.491561",1,"706 ",萬華分局,
萬華區,WZA00520,華江里,臺北市萬華區和平西路三段382巷11弄17號,"25.034573,121.492075",1,"265 ",萬華分局,
萬華區,WZA01336,華江里,臺北市萬華區環河南路二段200號,"25.034113,121.493031",1,"182 ",萬華分局,
萬華區,WZA00516,華江里,臺北市萬華區和平西路三段382巷2弄9號,"25.03489,121.491152",1,"78 ",萬華分局,
萬華區,WZA00522,華江里,臺北市萬華區和平西路三段382巷12弄14號,"25.034594,121.491043",1,"24 ",萬華分局,
萬華區,WZA00523,華江里,臺北市萬華區和平西路三段382巷12弄16號,"25.034635,121.490994",1,"1006 ",萬華分局,
萬華區,WZA00521,華江里,臺北市萬華區和平西路三段382巷12弄10號,"25.034592,121.491153",1,"22 ",萬華分局,
萬華區,WZA00525,華江里,臺北市萬華區和平西路三段382巷12弄8號,"25.03459,121.491184",1,"42 ",萬華分局,
萬華區,WZA00526,華江里,臺北市萬華區和平西路三段382巷12弄12號,"25.034593,121.491077",1,"118 ",萬華分局,
萬華區,WZA00527,華江里,臺北市萬華區和平西路三段382巷2弄16號,"25.035031,121.490984",1,"42 ",萬華分局,
萬華區,WZA00528,華江里,臺北市萬華區和平西路三段382巷2弄18號,"25.035032,121.490907",1,"32 ",萬華分局,
萬華區,WZA00529,華江里,臺北市萬華區和平西路三段382巷2弄19號,"25.034898,121.49081",1,"266 ",萬華分局,
萬華區,WZA00530,華江里,臺北市萬華區和平西路三段382巷2弄20號,"25.035032,121.490849",1,"132 ",萬華分局,
萬華區,WZA00531,華江里,臺北市萬華區和平西路三段382巷2弄25號,"25.034898,121.490671",1,"48 ",萬華分局,
萬華區,WZA00532,華江里,臺北市萬華區和平西路三段382巷2弄29號,"25.034922,121.490578",1,"145 ",萬華分局,
萬華區,WZA00533,華江里,臺北市萬華區和平西路三段382巷2弄5號,"25.03489,121.49126",1,"41 ",萬華分局,
萬華區,WZA01339,華江里,臺北市萬華區環河南路二段218號,"25.033773,121.492726",1,"277 ",萬華分局,
萬華區,WZA01340,華江里,臺北市萬華區環河南路二段220號,"25.033753,121.492677",1,"142 ",萬華分局,
萬華區,WZA01341,華江里,臺北市萬華區環河南路二段224號,"25.033685,121.492614",1,"166 ",萬華分局,
萬華區,WZA01342,華江里,臺北市萬華區環河南路二段230號,"25.033573,121.492545",1,"388 ",萬華分局,
萬華區,WZA01343,華江里,臺北市萬華區環河南路二段236號,"25.033463,121.492446",1,"266 ",萬華分局,
萬華區,WZA01344,華江里,臺北市萬華區環河南路二段242號,"25.033297,121.492273",1,"233 ",萬華分局,
萬華區,WZA01345,華江里,臺北市萬華區環河南路二段244號,"25.033241,121.492254",1,"460 ",萬華分局,
萬華區,WZA01358,華江里,臺北市萬華區環河南路二段250巷50號,"25.03393,121.490568",1,"44 ",萬華分局,
萬華區,WZA01359,華江里,臺北市萬華區環河南路二段250巷52號,"25.033947,121.490538",1,"264 ",萬華分局,
萬華區,WZA01360,華江里,臺北市萬華區環河南路二段250巷6號,"25.033263,121.491845",1,"98 ",萬華分局,
萬華區,WZA01363,華江里,臺北市萬華區環河南路二段250巷28弄14號,"25.03367,121.492013",1,"521 ",萬華分局,
萬華區,WZA01364,華江里,臺北市萬華區環河南路二段250巷28弄2號,"25.033377,121.491803",1,"442 ",萬華分局,
萬華區,WZA01365,華江里,臺北市萬華區環河南路二段250巷28弄34號,"25.03396,121.49234",1,"274 ",萬華分局,
萬華區,WZA01366,華江里,臺北市萬華區環河南路二段250巷42弄1號,"25.033964,121.490863",1,"392 ",萬華分局,
萬華區,WZA01367,華江里,臺北市萬華區環河南路二段250巷42弄15號,"25.034302,121.491189",1,"156 ",萬華分局,
萬華區,WZA01368,華江里,臺北市萬華區環河南路二段250巷42弄7號,"25.034102,121.490981",1,"172 ",萬華分局,
萬華區,WZA01369,華江里,臺北市萬華區環河南路二段250巷56弄2號,"25.034213,121.490682",1,"670 ",萬華分局,
萬華區,WZA01643,華江里,臺北市萬華區環河南路二段216號,"25.033829,121.492772",1,"26 ",萬華分局,
萬華區,WZA01644,華江里,臺北市萬華區和平西路三段382巷12弄5-7號,"25.034464,121.491018",1,"16 ",萬華分局,
萬華區,WZA01346,華江里,臺北市萬華區環河南路二段252號,"25.033162,121.491699",1,"521 ",萬華分局,
萬華區,WZA01347,華江里,臺北市萬華區環河南路二段276-1號,"25.032715,121.491792",1,"297 ",萬華分局,
萬華區,WZA01348,華江里,臺北市萬華區環河南路二段278號,"25.032364,121.491176",1,"536 ",萬華分局,
萬華區,WZA01361,華江里,臺北市萬華區環河南路二段250巷17弄9號,"25.03309,121.490883",1,"244 ",萬華分局,
萬華區,WZA01645,華江里,臺北市萬華區環河南路二段276號,"25.032744,121.491819",1,"92 ",萬華分局,
萬華區,WZA01646,華江里,臺北市萬華區環河南路二段250巷17弄1號,"25.03332,121.490984",1,"16 ",萬華分局,
萬華區,WZA00740,華江里,臺北市萬華區長順街107巷7號,"25.032508,121.489576",1,"169 ",萬華分局,
萬華區,WZA00744,華江里,臺北市萬華區長順街99巷6號,"25.032088,121.489974",1,"86 ",萬華分局,
萬華區,WZA01648,華江里,臺北市萬華區長順街89巷4號,"25.031782,121.490336",1,"40 ",萬華分局,
萬華區,WZA00742,華江里,臺北市萬華區長順街46巷2號,"25.031378,121.489234",1,"248 ",萬華分局,
萬華區,WZA01349,華江里,臺北市萬華區環河南路二段302號,"25.031258,121.490468",1,"754 ",萬華分局,
萬華區,WZA01350,華江里,臺北市萬華區環河南路二段350號,"25.030647,121.489844",1,"594 ",萬華分局,
萬華區,WZA02245,華江里,臺北市萬華區長順街14巷1弄2號,"25.031337,121.489706",1,"344 ",萬華分局,
萬華區,WZA00484,華江里,臺北市萬華區和平西路三段308號,"25.035283,121.493142",1,"644 ",萬華分局,
萬華區,WZA00486,華江里,臺北市萬華區和平西路三段312號,"25.035297,121.492874",1,"102 ",萬華分局,
萬華區,WZA00487,華江里,臺北市萬華區和平西路三段326號,"25.035304,121.492605",1,"124 ",萬華分局,
萬華區,WZA00488,華江里,臺北市萬華區和平西路三段336號,"25.035312,121.492341",1,"44 ",萬華分局,
萬華區,WZA00493,華江里,臺北市萬華區和平西路三段352號,"25.035312,121.492277",1,"40 ",萬華分局,
萬華區,WZA00496,華江里,臺北市萬華區和平西路三段380號,"25.035333,121.49157",1,"64 ",萬華分局,
萬華區,WZA00498,華江里,臺北市萬華區和平西路三段392號,"25.03534,121.491118",1,"37 ",萬華分局,
萬華區,WZA00499,華江里,臺北市萬華區和平西路三段394號,"25.035342,121.491067",1,"233 ",萬華分局,
萬華區,WZA00500,華江里,臺北市萬華區和平西路三段398號,"25.035345,121.49092",1,"104 ",萬華分局,
萬華區,WZA00510,華江里,臺北市萬華區和平西路三段302巷3弄1號,"25.035,121.493021",1,"132 ",萬華分局,
萬華區,WZA00511,華江里,臺北市萬華區和平西路三段302巷3弄11號,"25.034987,121.49267",1,"249 ",萬華分局,
萬華區,WZA00511,華江里,臺北市萬華區和平西路三段302巷3弄28號,"25.034884,121.492133",1,"54 ",萬華分局,
萬華區,WZA0513,華江里,臺北市萬華區和平西路三段302巷3弄37號,"25.035015,121.491905",1,"106 ",萬華分局,
萬華區,WZA00517,華江里,臺北市萬華區和平西路三段382巷1號,"25.034863,121.491558",1,"80 ",萬華分局,
萬華區,WZA00741,華江里,"臺北市萬華區長順街123巷21號 ","25.033131,121.489321",1,"744 ",萬華分局,
萬華區,WZA00743,華江里,"臺北市萬華區長順街60巷6號 ","25.031834,121.488828",1,"40 ",萬華分局,
萬華區,WZA02322,華江里,"臺北市萬華區長順街123巷5號 ","25.032637,121.489119",1,"977 ",萬華分局,
萬華區,WZA00518,華江里,臺北市萬華區和平西路三段382巷4號,"25.034786,121.491395",1,"216 ",萬華分局,
萬華區,WZA00521,華江里,臺北市萬華區和平西路三段382巷12弄10號,"25.034592,121.491153",1,"108 ",萬華分局,
